"response","n","k","shape","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
"q7_d00",200,8,"congeneric","omega","centred",1000,1000,1000,1000,0,7.57276321728187e-17,0.00327159016396157,0.103456764887223,0.00231452114023044,0.107443061870051,1.0385310422878,0.0232338799186395,0.103405023566213,0.957,0.00641490451994416,0.421169063308016,"11e_floor_sweep",1000
"q7_d04",200,8,"congeneric","omega","centred",1000,1000,1000,1000,0,3.30942955331648e-17,0.00325451361198748,0.102916756899019,0.00230244015252555,0.107443061870051,1.04398025265674,0.0233557889364813,0.102865285649539,0.952,0.00675988165576884,0.421169063308016,"11e_floor_sweep",1000
"q7_d08",200,8,"congeneric","omega","centred",1000,1000,1000,1000,0,6.55147018178894e-17,0.00352323359864971,0.111414429005646,0.00249254895551175,0.107443061870051,0.964355001672231,0.0215744232916083,0.111358707857372,0.941,0.00745110730026082,0.421169063308016,"11e_floor_sweep",1000
"q7_d12",200,8,"congeneric","omega","centred",1000,1000,1000,1000,0,-3.02057098951203e-17,0.00424664526911435,0.1342907146518,0.00300433420991915,0.107443061870051,0.800078115219191,0.0178992423891195,0.134223552499737,0.874,0.010493998284734,0.421169063308016,"11e_floor_sweep",1000
"q7_d16",200,8,"congeneric","omega","centred",1000,1000,1000,1000,0,7.47129925811264e-17,0.00505009081212896,0.15969789357017,0.00357274027581814,0.107443061870051,0.672789474351089,0.0150515576531665,0.159618024651161,0.804,0.0125532465920175,0.421169063308016,"11e_floor_sweep",1000
"q2_d00",1000,8,"congeneric","omega","centred",1000,1000,1000,1000,0,-2.73064245368861e-17,0.00144943659500941,0.0458352096422879,0.00102541928311419,0.0478570253511981,1.04411053695814,0.0233587036397407,0.045812286305199,0.955,0.00655553201502365,0.187596092191137,"11e_floor_sweep",1000
"q2_d04",1000,8,"congeneric","omega","centred",1000,1000,1000,1000,0,8.21546403497776e-18,0.00148728725685042,0.0470321526659119,0.00105219713504924,0.0478570253511981,1.01753848460107,0.0227642371784436,0.0470086307076185,0.956,0.00648567652600714,0.187596092191137,"11e_floor_sweep",1000
"q2_d08",1000,8,"congeneric","omega","centred",1000,1000,1000,1000,0,-5.17410008067654e-17,0.00179572607763421,0.0567858445908446,0.00127040544825293,0.0478570253511981,0.842763292437036,0.0188541895610408,0.0567574445667673,0.904,0.00931579304192617,0.187596092191137,"11e_floor_sweep",1000
"q2_d12",1000,8,"congeneric","omega","centred",1000,1000,1000,1000,0,-1.6402271251284e-17,0.00227915277768799,0.0720731391299344,0.00161241079151128,0.0478570253511981,0.664006395849094,0.014855063775832,0.0720370935467197,0.81,0.0124056438768812,0.187596092191137,"11e_floor_sweep",1000
"q2_d16",1000,8,"congeneric","omega","centred",1000,1000,1000,1000,0,-1.080257844982e-16,0.00305287199225146,0.0965402890045053,0.00215978665124952,0.0478570253511981,0.495720759122284,0.0110901996393405,0.0964920067864293,0.663,0.0149476085043729,0.187596092191137,"11e_floor_sweep",1000
