r	br	n	method	bias_ci	bias_es	bias_var
r=0.1	br=0.5	n=25	Cooper (r)	1	0.0111248414086192	1.82474588606139
r=0.1	br=0.5	n=25	Lipsey (r)	0.999465383587276	0.0242238624490991	0.672050180277912
r=0.1	br=0.5	n=25	Tetrachoric (r)	0.999333333333333	0.0579343846447066	0.922192957826043
r=0.1	br=0.5	n=25	Cooper (z)	1	0.0129105997888504	1.74228675165177
r=0.1	br=0.5	n=25	Lipsey (z)	0.999465383587276	0.0326023886211675	
r=0.1	br=0.5	n=25	Tetrachoric (z)	1	0.0745635507159179	0.918486893839098
r=0.1	br=0.5	n=50	Cooper (r)	1	0.0110951660487556	2.6988321516527
r=0.1	br=0.5	n=50	Lipsey (r)	0.999721526037316	0.0116723475578008	0.773692434234798
r=0.1	br=0.5	n=50	Tetrachoric (r)	0.9984	0.060057564142169	0.935279818061326
r=0.1	br=0.5	n=50	Cooper (z)	1	0.0120914661576587	2.58699494849709
r=0.1	br=0.5	n=50	Lipsey (z)	0.999721526037316	0.0137013129338489	0.786424317705752
r=0.1	br=0.5	n=50	Tetrachoric (z)	1	0.0687184225409325	0.92650259677748
r=0.1	br=0.5	n=75	Cooper (r)	1	0.0106168792135874	3.4646601814265
r=0.1	br=0.5	n=75	Lipsey (r)	1	0.00768114843282201	0.824981385792168
r=0.1	br=0.5	n=75	Tetrachoric (r)	0.999466666666667	0.0601135471399794	0.96429423100462
r=0.1	br=0.5	n=75	Cooper (z)	1	0.0112360318979597	3.35254986984474
r=0.1	br=0.5	n=75	Lipsey (z)	1	0.00845878649103462	0.844067080349594
r=0.1	br=0.5	n=75	Tetrachoric (z)	1	0.0658512329250576	0.963090840116105
r=0.1	br=0.5	n=100	Cooper (r)	1	0.0108061314705586	4.19541167988225
r=0.1	br=0.5	n=100	Lipsey (r)	1	0.005470720907671	0.871368627568638
r=0.1	br=0.5	n=100	Tetrachoric (r)	0.9996	0.0610396273475129	1.00648409430089
r=0.1	br=0.5	n=100	Cooper (z)	1	0.011292687788788	4.07114605704327
r=0.1	br=0.5	n=100	Lipsey (z)	1	0.00591683810170982	0.885796134756919
r=0.1	br=0.5	n=100	Tetrachoric (z)	1	0.0655740899945188	1.00236032303444
r=0.1	br=0.5	n=300	Cooper (r)	1	0.0106736603160093	7.25006272695713
r=0.1	br=0.5	n=300	Lipsey (r)	1	0.0019322255541465	0.87986125724713
r=0.1	br=0.5	n=300	Tetrachoric (r)	0.998533333333333	0.0620313679170751	0.992076995450503
r=0.1	br=0.5	n=300	Cooper (z)	1	0.0109127664453439	7.14465296154306
r=0.1	br=0.5	n=300	Lipsey (z)	1	0.00202182445787008	0.884468614032974
r=0.1	br=0.5	n=300	Tetrachoric (z)	0.999333333333333	0.0642938125894623	0.990221124199452
r=0.1	br=0.7	n=25	Cooper (r)	1	0.0219496444629885	1.70427777116217
r=0.1	br=0.7	n=25	Lipsey (r)	0.992390869042852	-0.00756990003958256	0.75468734604449
r=0.1	br=0.7	n=25	Tetrachoric (r)	0.998799519807923	0.0617640744868491	0.999989386899711
r=0.1	br=0.7	n=25	Cooper (z)	1	0.0254146651781814	1.64416240571693
r=0.1	br=0.7	n=25	Lipsey (z)	0.992390869042852	-0.00654559643976878	
r=0.1	br=0.7	n=25	Tetrachoric (z)	1	0.0793520049562172	1.01563811771519
r=0.1	br=0.7	n=50	Cooper (r)	1	0.0283835250442818	2.23814807995996
r=0.1	br=0.7	n=50	Lipsey (r)	0.997470133520731	-0.0160012456128135	0.82274911914715
r=0.1	br=0.7	n=50	Tetrachoric (r)	0.9956	0.0731056312066418	0.927392731885621
r=0.1	br=0.7	n=50	Cooper (z)	1	0.0314999960915367	2.15036921661456
r=0.1	br=0.7	n=50	Lipsey (z)	0.997470133520731	-0.016676517648325	
r=0.1	br=0.7	n=50	Tetrachoric (z)	1	0.0847387382888956	0.926465361420193
r=0.1	br=0.7	n=75	Cooper (r)	1	0.029613657109929	2.77405847260406
r=0.1	br=0.7	n=75	Lipsey (r)	0.9992	-0.0192067760610815	0.844802479802544
r=0.1	br=0.7	n=75	Tetrachoric (r)	0.9928	0.0762341664825673	0.928214561052774
r=0.1	br=0.7	n=75	Cooper (z)	1	0.0320602923793101	2.66775171812121
r=0.1	br=0.7	n=75	Lipsey (z)	0.999333333333333	-0.0198351412184502	0.852147779606262
r=0.1	br=0.7	n=75	Tetrachoric (z)	1	0.0850406053089187	0.922858453618164
r=0.1	br=0.7	n=100	Cooper (r)	1	0.0287074685791865	3.28641934164328
r=0.1	br=0.7	n=100	Lipsey (r)	1	-0.0204816011724401	0.865462483811392
r=0.1	br=0.7	n=100	Tetrachoric (r)	0.993866666666667	0.0758229626822399	0.939245411655372
r=0.1	br=0.7	n=100	Cooper (z)	1	0.0305234362431857	3.16831086551536
r=0.1	br=0.7	n=100	Lipsey (z)	1	-0.0210530478338117	0.873176432915419
r=0.1	br=0.7	n=100	Tetrachoric (z)	0.999333333333333	0.0825856443500153	0.931861324985238
r=0.1	br=0.7	n=300	Cooper (r)	1	0.0273490766404948	5.95280605446091
r=0.1	br=0.7	n=300	Lipsey (r)	0.99959715321606	-0.0231522626545259	0.868727943182019
r=0.1	br=0.7	n=300	Tetrachoric (r)	0.990533333333333	0.075537193940863	0.949384010127224
r=0.1	br=0.7	n=300	Cooper (z)	1	0.0281034993649291	5.87056487317112
r=0.1	br=0.7	n=300	Lipsey (z)	1	-0.0235009605994631	0.872069281034568
r=0.1	br=0.7	n=300	Tetrachoric (z)	0.995333333333333	0.0786616398457427	0.948801302082626
r=0.2	br=0.3	n=25	Cooper (r)	1	0.0225317545552714	1.80873757991072
r=0.2	br=0.3	n=25	Lipsey (r)	0.997406851371639	0.079677846467545	0.517605461596173
r=0.2	br=0.3	n=25	Tetrachoric (r)	0.9968	0.111915047611615	0.942089680608873
r=0.2	br=0.3	n=25	Cooper (z)	1	0.0264833160704085	1.79318293875291
r=0.2	br=0.3	n=25	Lipsey (z)	0.997406851371639	0.1042828317077	
r=0.2	br=0.3	n=25	Tetrachoric (z)	1	0.151007698102069	0.948030842068198
r=0.2	br=0.3	n=50	Cooper (r)	1	0.0238321783548477	2.67336438352273
r=0.2	br=0.3	n=50	Lipsey (r)	0.996188401851348	0.0635161317914788	0.625760961888423
r=0.2	br=0.3	n=50	Tetrachoric (r)	0.988266666666667	0.11886832095956	0.967022068073356
r=0.2	br=0.3	n=50	Cooper (z)	1	0.0268816784695141	2.636387168357
r=0.2	br=0.3	n=50	Lipsey (z)	0.996188401851348	0.0813560573849595	
r=0.2	br=0.3	n=50	Tetrachoric (z)	1	0.143770853549799	0.949521075802778
r=0.2	br=0.3	n=75	Cooper (r)	1	0.0233020980566326	3.33415624484887
r=0.2	br=0.3	n=75	Lipsey (r)	0.997065492863812	0.0577694997168674	0.659850914049079
r=0.2	br=0.3	n=75	Tetrachoric (r)	0.988533333333333	0.119991272458472	0.964910199561582
r=0.2	br=0.3	n=75	Cooper (z)	1	0.0255894715149652	3.32564228944794
r=0.2	br=0.3	n=75	Lipsey (z)	0.997065492863812	0.0689396910071435	
r=0.2	br=0.3	n=75	Tetrachoric (z)	0.999466666666667	0.13940099748263	0.956312176359054
r=0.2	br=0.3	n=100	Cooper (r)	1	0.0230995359702222	3.87657095433072
r=0.2	br=0.3	n=100	Lipsey (r)	0.996782410510792	0.0545180351003774	0.680759338129456
r=0.2	br=0.3	n=100	Tetrachoric (r)	0.9892	0.120070127285381	0.966552048749656
r=0.2	br=0.3	n=100	Cooper (z)	1	0.0250035589933053	3.89626675890782
r=0.2	br=0.3	n=100	Lipsey (z)	0.996782410510792	0.0624522383486153	0.673159269399768
r=0.2	br=0.3	n=100	Tetrachoric (z)	0.999333333333333	0.13658507063444	0.962443289500733
r=0.2	br=0.3	n=300	Cooper (r)	1	0.0225379627152797	6.91625454902151
r=0.2	br=0.3	n=300	Lipsey (r)	0.995332711028137	0.0491158924885004	0.705253428530554
r=0.2	br=0.3	n=300	Tetrachoric (r)	0.8952	0.122131294588357	0.980913498535071
r=0.2	br=0.3	n=300	Cooper (z)	1	0.0238620916594302	7.07579963276146
r=0.2	br=0.3	n=300	Lipsey (z)	0.995332711028137	0.0531008120095831	0.703719180980086
r=0.2	br=0.3	n=300	Tetrachoric (z)	0.9428	0.133889522733942	0.978629975568361
r=0.2	br=0.5	n=25	Cooper (r)	1	0.0230851816217254	1.76588498310658
r=0.2	br=0.5	n=25	Lipsey (r)	0.999328227865108	0.0281624664475169	0.554821023704739
r=0.2	br=0.5	n=25	Tetrachoric (r)	0.9956	0.111264199379377	0.925279008877666
r=0.2	br=0.5	n=25	Cooper (z)	1	0.0272402548684025	1.75606835640145
r=0.2	br=0.5	n=25	Lipsey (z)	0.999328227865108	0.0411349435582665	
r=0.2	br=0.5	n=25	Tetrachoric (z)	1	0.15093172122072	0.934583613236507
r=0.2	br=0.5	n=50	Cooper (r)	1	0.0252872413042067	2.59159999858663
r=0.2	br=0.5	n=50	Lipsey (r)	0.999455930359086	0.0138629903778497	0.675453475147626
r=0.2	br=0.5	n=50	Tetrachoric (r)	0.9868	0.119804849381875	0.944038381624611
r=0.2	br=0.5	n=50	Cooper (z)	1	0.0286524144952365	2.56343282206663
r=0.2	br=0.5	n=50	Lipsey (z)	0.999455930359086	0.0186274275685359	
r=0.2	br=0.5	n=50	Tetrachoric (z)	1	0.145420107392063	0.931184401855697
r=0.2	br=0.5	n=75	Cooper (r)	1	0.0243985365393493	3.27660721175161
r=0.2	br=0.5	n=75	Lipsey (r)	0.999733333333333	0.0093848682912787	0.716611403403446
r=0.2	br=0.5	n=75	Tetrachoric (r)	0.987866666666667	0.120574147258196	0.957605624960986
r=0.2	br=0.5	n=75	Cooper (z)	1	0.0268389679848251	3.26981650329713
r=0.2	br=0.5	n=75	Lipsey (z)	0.999733333333333	0.0117541364600955	0.720423128247473
r=0.2	br=0.5	n=75	Tetrachoric (z)	0.9992	0.14009780079103	0.951120500176967
r=0.2	br=0.5	n=100	Cooper (r)	1	0.0239550682870896	3.9115508753838
r=0.2	br=0.5	n=100	Lipsey (r)	0.999865861837693	0.00665625265873534	0.744482611025694
