"rho","n","p_exp","p_case","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.5,100,0.5,0.3,"phi (r)","own",300,300,0,-0.00729104193859797,0.00452750251635467,0.0784186438972223,0.00320677682048298,0.0960071338846531,1.22428964737624,0.0500649267527369,0.0786266158765221,0.986206896551724,0.00684882414915171,0.380009688233285,"03a_2x2_to_cor_CAT",300
0,300,0.5,0.3,"phi (r)","own",300,300,0,-0.00418537555754775,0.00320196464911062,0.0554596545629905,0.00226791392819393,0.0574772234556882,1.03637903821428,0.0423806905069128,0.0555251121132573,0.939597315436242,0.0138003745038729,0.225104126934689,"03a_2x2_to_cor_CAT",300
0.1,300,0.5,0.3,"phi (r)","own",300,300,0,0.000568918185330294,0.00348824699235957,0.060418210201161,0.00247068434723358,0.0572560600648183,0.94766230039231,0.0387527933092869,0.0603201121080985,0.94,0.0137113092008021,0.224264435401435,"03a_2x2_to_cor_CAT",300
0.25,300,0.5,0.3,"phi (r)","own",300,300,0,-0.000563404191166208,0.00329284355406604,0.0570337233701806,0.0023322823884718,0.0562382352140456,0.986052319415098,0.0403226779313868,0.0569413751772589,0.946666666666667,0.0129729062394013,0.220415832501033,"03a_2x2_to_cor_CAT",300
0.5,300,0.5,0.3,"phi (r)","own",300,300,0,0.000581969292496443,0.00268646525635182,0.046530943167699,0.00190279176698021,0.0548410711753491,1.17859358615836,0.0481962758475654,0.0464569721867392,0.986666666666667,0.0066220730781117,0.215639710769067,"03a_2x2_to_cor_CAT",300
0,25,0.3,0.5,"phi (r)","own",300,300,0,-0.00212339516823108,0.0116212085943006,0.201285237306848,0.00823116546298601,0.19031975952847,0.945522692448323,0.0386652982338978,0.200960700326015,0.978571428571429,0.00865393959731266,0.741304186261809,"03a_2x2_to_cor_CAT",300
0.1,25,0.3,0.5,"phi (r)","own",300,300,0,0.00329801188337936,0.0114712216156176,0.198687386631321,0.00812493144878556,0.189510910161667,0.953814499122278,0.0390043754242254,0.198383380260072,0.979094076655052,0.00844512223688731,0.739505183077359,"03a_2x2_to_cor_CAT",300
0.25,25,0.3,0.5,"phi (r)","own",300,300,0,-0.000975062156538354,0.0116188583902244,0.201244530578167,0.00822950084106084,0.186329590491149,0.925886482260325,0.0378623138854879,0.200911209153555,0.966292134831461,0.0110449617361946,0.732052391555674,"03a_2x2_to_cor_CAT",300
0.5,25,0.3,0.5,"phi (r)","own",300,300,0,0.0091456119698054,0.00945996077787696,0.163851327048917,0.00670037903581311,0.176345531053866,1.07625329760813,0.0440112702313687,0.163833478679037,0.970588235294118,0.0129584659592208,0.708626744125951,"03a_2x2_to_cor_CAT",300
0,50,0.3,0.5,"phi (r)","own",300,300,0,-0.00186109870115211,0.00817189001438022,0.141541286987713,0.00578805365275647,0.137826956120105,0.973757968811388,0.0398199245480136,0.141317443453052,0.965986394557823,0.0105715379799681,0.538018579013558,"03a_2x2_to_cor_CAT",300
0.1,50,0.3,0.5,"phi (r)","own",300,300,0,0.00344442800851962,0.00854755115707807,0.148047928843534,0.0060541300249745,0.137239260255055,0.926992098620294,0.0379075259006324,0.1478411062201,0.949324324324324,0.0127485626601708,0.536230470931808,"03a_2x2_to_cor_CAT",300
