"rho","n","p_exp","p_case","dgm","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.1,50,0.5,0.1,"CAT","2x2_tetrachoric (r)","own",1000,928,928,790,0.072,0.0370289865253121,0.0129750734365761,0.395260861299543,0.00917970971082439,4219.09936120246,10674.2148649144,247.90259660094,0.396779462406592,0.988607594936709,0.00377577524442483,1.04631627072754,"09b_or_to_cor_CAT",1000
0.25,50,0.5,0.1,"CAT","2x2_tetrachoric (r)","own",1000,897,897,486,0.103,0.106842852134959,0.0113064608346829,0.338628030109407,0.00799933530915341,7251.04564637024,21413.0107422812,505.834832546702,0.354903510508847,0.967078189300412,0.00809383816329934,0.976505795452092,"09b_or_to_cor_CAT",1000
0,100,0.5,0.1,"CAT","2x2_tetrachoric (r)","own",1000,997,997,985,0.003,0.0152258100448528,0.00765449329825101,0.241692974349712,0.00541526057669058,835.955075916625,3458.74793491953,77.4951004971235,0.242051085256562,0.959390862944162,0.00628914422393537,0.793106828634976,"09b_or_to_cor_CAT",1000
0.1,100,0.5,0.1,"CAT","2x2_tetrachoric (r)","own",1000,994,994,977,0.00600000000000001,0.00056060825043602,0.00725856865877504,0.228846450836159,0.00513516685224109,1102.48511015328,4817.57574183486,108.103294445859,0.228731994969971,0.969293756397134,0.0055194241728892,0.784514288740942,"09b_or_to_cor_CAT",1000
0.25,100,0.5,0.1,"CAT","2x2_tetrachoric (r)","own",1000,959,959,701,0.041,0.067566600477984,0.00833512744701546,0.258119935739402,0.00589690044666937,4004.40431506113,15513.7351308811,354.420325422537,0.266686468304461,0.962910128388017,0.00713775329934599,0.707819624843676,"09b_or_to_cor_CAT",1000
0,300,0.5,0.1,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,-0.00237630414266266,0.00400889944966178,0.126772531715268,0.00283613840985046,0.123885022417877,0.977222910528631,0.0218623024565054,0.126731410250496,0.95,0.00689202437604511,0.475791309966004,"09b_or_to_cor_CAT",1000
0.1,300,0.5,0.1,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,0.00219078011500712,0.00380628056753541,0.120365160070502,0.00269279353393743,0.12068325026469,1.0026427098506,0.0224309908644144,0.120324908080377,0.956,0.00648567652600714,0.464122422605266,"09b_or_to_cor_CAT",1000
0.25,300,0.5,0.1,"CAT","2x2_tetrachoric (r)","own",1000,996,996,972,0.004,0.0109247868655961,0.00371975228073701,0.11739340186709,0.0026315834698443,823.493741650987,7014.82134901696,157.249790979599,0.117841950140672,0.966049382716049,0.00580885276473555,0.404424305655504,"09b_or_to_cor_CAT",1000
0,25,0.3,0.3,"CAT","2x2_tetrachoric (r)","own",1000,953,953,883,0.047,0.00335052151401864,0.0133928910592461,0.413447896319921,0.00947517662889868,4100.66992032127,9918.22659353484,227.300585286966,0.413244503211911,0.968289920724802,0.00589686272305752,1.15211491659304,"09b_or_to_cor_CAT",1000
0.1,25,0.3,0.3,"CAT","2x2_tetrachoric (r)","own",1000,965,964,929,0.035,-0.0096882315924614,0.0121812837827328,0.378404870455743,0.00861793477490739,2610.38901366008,6898.40226029907,157.106806418032,0.378332821919301,0.976318622174381,0.00498874623408035,1.12740013976865,"09b_or_to_cor_CAT",1000
0.25,25,0.3,0.3,"CAT","2x2_tetrachoric (r)","own",1000,979,979,954,0.021,-0.00566945237217841,0.0099128797998172,0.310163855117236,0.00701304718278206,1936.86214753799,6244.64171302581,141.196229832988,0.31005724394934,0.974842767295597,0.00507019348733494,1.06801348609083,"09b_or_to_cor_CAT",1000
0.5,25,0.3,0.3,"CAT","2x2_tetrachoric (r)","own",1000,986,982,884,0.014,-0.0192112827312663,0.00703421591305174,0.220878860016685,0.00497646597549037,1970.03045372325,8919.05388127427,200.948919106038,0.221601137165267,0.96606334841629,0.00608991407697415,0.883767321024059,"09b_or_to_cor_CAT",1000
0.75,25,0.3,0.3,"CAT","2x2_tetrachoric (r)","own",1000,995,925,560,0.005,-0.0105894008740635,0.00339858996036885,0.107203832254851,0.00240437453958881,2206.97667992796,20586.7330813455,461.720591820147,0.107671939925308,0.928571428571429,0.0108830250039294,0.676018496169399,"09b_or_to_cor_CAT",1000
0,50,0.3,0.3,"CAT","2x2_tetrachoric (r)","own",1000,999,999,998,0.001,-0.00754216009460344,0.00772671354347657,0.244217935624641,0.00546634813786217,208.200020759468,852.517323213589,19.0819583759255,0.244212166276521,0.970941883767535,0.00531698059793744,0.886430644199005,"09b_or_to_cor_CAT",1000
0.1,50,0.3,0.3,"CAT","2x2_tetrachoric (r)","own",1000,999,999,997,0.001,-0.00880498261849968,0.0077770215722613,0.245808019541434,0.00550193910392032,919.385803513568,3740.25959457598,83.7185074783206,0.245842689794224,0.963891675025075,0.00590840431649116,0.862546282960737,"09b_or_to_cor_CAT",1000
0.25,50,0.3,0.3,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,999,0,-0.00972464066168924,0.00660809462317124,0.208966300031332,0.0046749665867233,13.9972207569296,66.983148741356,1.49853819583543,0.2090880586505,0.968968968968969,0.0054861830400134,0.79311217460426,"09b_or_to_cor_CAT",1000
0.5,50,0.3,0.3,"CAT","2x2_tetrachoric (r)","own",1000,998,998,993,0.002,-0.00789738900968709,0.00476182011813755,0.150431316473082,0.00336880349663037,0.530120148081581,3.52400125526018,0.0789175288044135,0.150563192042934,0.957703927492447,0.00638691344874825,0.579085179918734,"09b_or_to_cor_CAT",1000
0.75,50,0.3,0.3,"CAT","2x2_tetrachoric (r)","own",1000,999,994,860,0.001,-0.00280556342645866,0.00202724289489403,0.064074987640603,0.00143419519322729,10.0163753276515,156.322704014138,3.49898265992485,0.0641043330323966,0.96046511627907,0.00664479834069414,0.329134591070126,"09b_or_to_cor_CAT",1000
0,100,0.3,0.3,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,-0.00665653255881457,0.00564106336678205,0.178386086643691,0.0039908300738949,0.172026755989251,0.964350747448468,0.0215743281166737,0.178421085463151,0.945,0.00720936890441875,0.649852936035453,"09b_or_to_cor_CAT",1000
0.1,100,0.3,0.3,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,0.000531843778792573,0.00535703189500289,0.169404222863771,0.00378988899846153,0.16751302286093,0.988836169660531,0.0221221127627436,0.169320334842449,0.954,0.00662449998113065,0.633860228532456,"09b_or_to_cor_CAT",1000
0.25,100,0.3,0.3,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,-0.00712378898726878,0.00464296384039801,0.146823408294602,0.00328471398413611,0.150991097202524,1.02838572511244,0.0230069102168293,0.146922784072299,0.963,0.00596917079668525,0.57610816216148,"09b_or_to_cor_CAT",1000
0.5,100,0.3,0.3,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,0.00208093406076558,0.0032854384510628,0.103894686176541,0.00232431825773154,0.100905554536313,0.971229215369604,0.0217282122965358,0.1038635739635,0.942,0.00739161687318817,0.397358237688204,"09b_or_to_cor_CAT",1000
0.75,100,0.3,0.3,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,991,0,-0.00248168120142035,0.00135542626793539,0.0428623420709747,0.00095891068071965,0.0450044840250653,1.04997724927265,0.0234899529562101,0.0429127245584211,0.956609485368315,0.00647184212852193,0.188609164732525,"09b_or_to_cor_CAT",1000
0,300,0.3,0.3,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,0.00604460713298368,0.00305404765046326,0.0965774665814969,0.00216061838311339,0.0998653718887334,1.03404422815815,0.0231335015029151,0.0967182357140625,0.954,0.00662449998113065,0.386476199739102,"09b_or_to_cor_CAT",1000
0.1,300,0.3,0.3,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,0.000414659487856888,0.00306751811227596,0.0970034399861213,0.00217014820410918,0.0971093648199613,1.00109196987092,0.0223962979135,0.0969558128441135,0.953,0.00669260786241059,0.376069634535432,"09b_or_to_cor_CAT",1000
0.25,300,0.3,0.3,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,-0.00329030026817539,0.00277971237191752,0.0879022233540843,0.00196653698236231,0.0871753631151122,0.991731036926744,0.0221868763525689,0.0879198506912715,0.941,0.00745110730026082,0.338556310721588,"09b_or_to_cor_CAT",1000
0.5,300,0.3,0.3,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,-0.00217042947440083,0.001864736269125,0.0589681384595972,0.00131922743972859,0.0583536796242808,0.98957981629796,0.0221387495275319,0.0589785967630646,0.939,0.00756828910652864,0.229162437540636,"09b_or_to_cor_CAT",1000
0.75,300,0.3,0.3,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,0.000305942953311121,0.000731440014469455,0.0231301641750999,0.000517464991473761,0.0238397917933434,1.03067974843894,0.0230582318050421,0.0231206204796279,0.962,0.00604615580348373,0.096545039322608,"09b_or_to_cor_CAT",1000
0,25,0.5,0.3,"CAT","2x2_tetrachoric (r)","own",1000,991,991,963,0.00900000000000001,-0.00479037012245663,0.011191551847511,0.35231175861831,0.00791761797348826,2168.27057170704,6154.40875493491,138.31005120399,0.352166540253161,0.974039460020768,0.00512426985840351,1.11206301183903,"09b_or_to_cor_CAT",1000
0.1,25,0.5,0.3,"CAT","2x2_tetrachoric (r)","own",1000,993,993,957,0.00700000000000001,0.00828516241081537,0.0111987596964577,0.352894223823275,0.00792270920666044,1555.79674077212,4408.67726288215,98.9777264173156,0.35281378219291,0.96969696969697,0.0055412160106969,1.0990725856306,"09b_or_to_cor_CAT",1000
0.25,25,0.5,0.3,"CAT","2x2_tetrachoric (r)","own",1000,984,984,914,0.016,0.00059883003655477,0.00994479409884118,0.311956001374637,0.00703560725722745,1736.40915576102,5566.19891301823,125.53561814819,0.311798021901033,0.969365426695842,0.00570002267094322,1.05337119871351,"09b_or_to_cor_CAT",1000
0.5,25,0.5,0.3,"CAT","2x2_tetrachoric (r)","own",1000,940,940,582,0.0600000000000001,0.020166196084076,0.00717674764796466,0.220034916307418,0.00507742840720098,3811.78281516683,17323.5360966133,399.750256760275,0.22084051746025,0.9553264604811,0.00856326911771401,0.894456890211114,"09b_or_to_cor_CAT",1000
0,50,0.5,0.3,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,998,0,0.00144147900707731,0.00782000469968066,0.247290261642119,0.00553234521655228,93.4102440894236,377.735230935248,8.45064291699531,0.247170788911741,0.947895791583166,0.00703479470597396,0.841454527880557,"09b_or_to_cor_CAT",1000
0.1,50,0.5,0.3,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,1000,0,-0.0034585447531979,0.00720429861477135,0.227819925666734,0.00509675742032125,0.225564053356792,0.990098002607365,0.0221503423235081,0.227732250996813,0.972,0.0052168956286282,0.831953316596587,"09b_or_to_cor_CAT",1000
0.25,50,0.5,0.3,"CAT","2x2_tetrachoric (r)","own",1000,1000,1000,993,0,0.00960588491343645,0.0068410628640898,0.216333402669187,0.00483978243821595,320.782261755082,1482.81429403492,33.1733264066481,0.216438476233521,0.961732124874119,0.00608792945545638,0.764141483540243,"09b_or_to_cor_CAT",1000
