"rr","n","br","br_guess","p_exp","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.5,100,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.0220444074960807,0.0291188280065257,0.920818192953215,0.0206004235317262,1.09308931136487,1.18708483360776,0.0265573058042861,0.920621634674638,0.996,0.00199599599197994,4.23212850977485,"04_or_to_rr",1000
0.75,100,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0486610493113833,0.0297332089174214,0.94024662324681,0.0210350738195545,1.04897293594964,1.11563595126498,0.0249588608035317,0.941035358812083,0.995,0.00223047080231955,4.04723436328786,"04_or_to_rr",1000
1,100,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0372195047817731,0.0295320547395366,0.933885569617062,0.020892765164183,0.993817670085045,1.06417499361571,0.0238075830257511,0.93416026805792,0.974,0.00503229569878401,3.81868693622051,"04_or_to_rr",1000
2,100,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.0741459432198827,0.0246626917147422,0.77990279049149,0.0174478826772226,0.867639409975795,1.11249686570427,0.0248886335941348,0.783031120166857,0.981,0.00431729081716764,3.31506867149909,"04_or_to_rr",1000
0.25,300,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.112570513695073,0.0250113655729821,0.790928826017457,0.0176945556941645,0.890278834333288,1.12561181872216,0.0251820395985282,0.798507958614753,0.969,0.00548078461536303,3.41851819317671,"04_or_to_rr",1000
0.5,300,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0616870525296177,0.0226739817430126,0.717014259329945,0.0160409487274697,0.703015738308025,0.98047664904879,0.021935094666835,0.719305659010256,0.964,0.00589101010014412,2.68623162400984,"04_or_to_rr",1000
0.75,300,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.00365284879151534,0.0191116560537889,0.604363629877184,0.0135207436581066,0.60114760245072,0.994678654923167,0.0222528200747941,0.604072417037478,0.973,0.00512552436341883,2.31289314263981,"04_or_to_rr",1000
1,300,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.0115608133542484,0.0186843316348831,0.59085044524168,0.0132184284683285,0.550198728262137,0.931197958287203,0.0208326382769131,0.590668093601695,0.964,0.00589101010014412,2.12111733609335,"04_or_to_rr",1000
2,300,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.0708925715603211,0.0159783470348936,0.505279698748618,0.0113040509797284,0.470799457635156,0.931760090106814,0.0208452142160651,0.509978453560503,0.958,0.00634318531969546,1.81287886361316,"04_or_to_rr",1000
0.25,50,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.105768891955208,0.0256450815651837,0.810968685267764,0.0181428847902139,1.02891462155195,1.26874765973513,0.0283842558123284,0.817434766071197,0.966,0.00573096850453743,3.99704577673688,"04_or_to_rr",1000
0.5,50,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0233089650749588,0.0276686245451012,0.8749587328656,0.0195744617208379,0.954632896097482,1.09106048118514,0.0244090616184045,0.874831720553401,0.981,0.00431729081716764,3.66734841697406,"04_or_to_rr",1000
0.75,50,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.00450126810621774,0.0266644532766046,0.843204049172102,0.0188640501127613,0.857227726493593,1.0166314160081,0.0227439443591547,0.842794362158559,0.983,0.00408790900094413,3.26714527675517,"04_or_to_rr",1000
1,50,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0309397598548226,0.0251582610595827,0.795574069174024,0.0177984784632469,0.789576978778387,0.992461933303253,0.0222032278701965,0.795777877414575,0.985,0.00384382621875652,3.00743733249073,"04_or_to_rr",1000
2,50,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.0514314779693163,0.0201203195983222,0.636260371812224,0.0142343333744833,0.645797898870015,1.0149899749856,0.0227072222564371,0.638018518856623,0.98,0.00442718872423573,2.44739483167904,"04_or_to_rr",1000
0.25,100,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0832850677430493,0.0237311428741141,0.75044462961075,0.0167888485755367,0.864107551433097,1.15146077050522,0.0257603289488661,0.754678989689303,0.978,0.00463853425124791,3.30865483436803,"04_or_to_rr",1000
0.5,100,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.081206062259233,0.0219271488526495,0.693397329679203,0.0155125938827811,0.692214871665659,0.99829468911556,0.0223337175162637,0.697791861157103,0.967,0.00564898220921256,2.6356006302137,"04_or_to_rr",1000
0.75,100,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0369358561715155,0.019981199722882,0.631861015070324,0.0141359115439376,0.581545354365266,0.920369100949426,0.0205903765044698,0.632624178714707,0.958,0.00634318531969546,2.2259761279177,"04_or_to_rr",1000
1,100,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.00998953656084232,0.0175437147371573,0.554780971896795,0.0124114869535352,0.517898846659241,0.933519484074132,0.0208845751465542,0.554593486882666,0.958,0.00634318531969546,1.99580697093459,"04_or_to_rr",1000
2,100,0.15,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.0533118351455928,0.0142176116112814,0.449600355793056,0.010058400040563,0.431752356806544,0.960302524772183,0.0214837618112722,0.452526785081175,0.964,0.00589101010014412,1.65970729872298,"04_or_to_rr",1000
