r	n	method	bias_ci	bias_es	bias_var	br
r=0.1	n=25	Lipsey (r)	0.956140350877193	-0.0149726485677921	0.697588283954312	br=
r=0.1	n=25	Tetrachoric (r)	0.952888888888889	-0.00453113220813365	0.896067629894471	br=
r=0.1	n=25	Cooper (z)	0.9988	-0.0308364570219557	1.6738139243061	br=
r=0.1	n=25	Lipsey (z)	0.959791611007213	-0.0124422487642407		br=
r=0.1	n=25	Tetrachoric (z)	0.990488888888889	0.00292418585408715	0.894938623785194	br=
r=0.1	n=50	Cooper (r)	0.9988	-0.0289476179131296	2.56402881170332	br=
r=0.1	n=50	Lipsey (r)	0.949155555555556	-0.0275080199491519	0.825356380915515	br=
r=0.1	n=50	Tetrachoric (r)	0.968711111111111	-0.000981210338858342	0.933801093543885	br=
r=0.1	n=50	Cooper (z)	0.999777777777778	-0.0290430103997021	2.43878543282924	br=
r=0.1	n=50	Lipsey (z)	0.952844444444444	-0.0267395854360264	0.832092475678163	br=
r=0.1	n=50	Tetrachoric (z)	0.987688888888889	0.00311340908972541	0.928760716782983	br=
r=0.1	n=75	Cooper (r)	0.999733333333333	-0.0295654610829174	3.35546486357684	br=
r=0.1	n=75	Lipsey (r)	0.941955555555556	-0.0310071839974047	0.866272109179544	br=
r=0.1	n=75	Tetrachoric (r)	0.976222222222222	-0.00110667338470914	0.973369427548736	br=
r=0.1	n=75	Cooper (z)	0.999911111111111	-0.029829191868843	3.21486789281866	br=
r=0.1	n=75	Lipsey (z)	0.9444	-0.0310640920746003	0.88355831029422	br=
r=0.1	n=75	Tetrachoric (z)	0.986266666666667	0.00133651145755312	0.970298831699123	br=
r=0.1	n=100	Cooper (r)	0.999955555555556	-0.0294829051201625	3.84350346981311	br=
r=0.1	n=100	Lipsey (r)	0.937933552391384	-0.0332225497356836	0.880787640466505	br=
r=0.1	n=100	Tetrachoric (r)	0.975911111111111	-0.00033137494428096	0.971707604067465	br=
r=0.1	n=100	Cooper (z)	1	-0.0297179042854747	3.70123365183393	br=
r=0.1	n=100	Lipsey (z)	0.941115109789809	-0.0334348693531939	0.903363429013409	br=
r=0.1	n=100	Tetrachoric (z)	0.984755555555556	0.00155894799159025	0.969766753884136	br=
r=0.1	n=300	Cooper (r)	1	-0.0295552052231279	6.77107504594335	br=
r=0.1	n=300	Lipsey (r)	0.893037526551806	-0.0368609716328279	0.890031868949467	br=
r=0.1	n=300	Tetrachoric (r)	0.982311111111111	0.000628480319779156	0.979405191433814	br=
r=0.1	n=300	Cooper (z)	1	-0.0297756397727981	6.62010361214462	br=
r=0.1	n=300	Lipsey (z)	0.896058531980175	-0.0371613865807063	0.897459515056687	br=
r=0.1	n=300	Tetrachoric (z)	0.985288888888889	0.00127756956351951	0.978985057908617	br=
r=0.2	n=25	Cooper (r)	0.994088888888889	-0.060929801449808	1.80566682798071	br=
r=0.2	n=25	Lipsey (r)	0.936256579534303	-0.0481810264571461	0.657514956848912	br=
r=0.2	n=25	Tetrachoric (r)	0.952533333333333	-0.0090551383358346	0.924939695527703	br=
r=0.2	n=25	Cooper (z)	0.998088888888889	-0.0635992660740077	1.73269449847103	br=
r=0.2	n=25	Lipsey (z)	0.945936301186546	-0.047744472814794		br=
r=0.2	n=25	Tetrachoric (z)	0.990444444444444	0.00532209482115714	0.924363915912423	br=
r=0.2	n=50	Cooper (r)	0.998533333333333	-0.0597868250303586	2.55238490143049	br=
r=0.2	n=50	Lipsey (r)	0.911196053157918	-0.0624023626771741	0.752165168616254	br=
r=0.2	n=50	Tetrachoric (r)	0.966666666666667	-0.00415596015427963	0.942249432110106	br=
r=0.2	n=50	Cooper (z)	0.999555555555555	-0.061352867364293	2.45533338049293	br=
r=0.2	n=50	Lipsey (z)	0.921818747499889	-0.0622012717594522		br=
r=0.2	n=50	Tetrachoric (z)	0.987111111111111	0.0040543474989179	0.936600520372146	br=
r=0.2	n=75	Cooper (r)	0.9996	-0.0588058841203347	3.24065098029697	br=
r=0.2	n=75	Lipsey (r)	0.895906484732655	-0.0650645653852685	0.782907599657747	br=
r=0.2	n=75	Tetrachoric (r)	0.972533333333333	-0.00145897087946065	0.95907060346738	br=
r=0.2	n=75	Cooper (z)	0.999911111111111	-0.0604265803794478	3.12800449273262	br=
r=0.2	n=75	Lipsey (z)	0.907151428952398	-0.0663364598903582		br=
r=0.2	n=75	Tetrachoric (z)	0.985555555555555	0.00402923172804949	0.948444835313524	br=
r=0.2	n=100	Cooper (r)	0.999822222222222	-0.0596472193864232	3.79988826138243	br=
r=0.2	n=100	Lipsey (r)	0.881849564836875	-0.0679969588138835	0.80265530805438	br=
r=0.2	n=100	Tetrachoric (r)	0.975777777777778	-0.00153741406375893	0.977942398096594	br=
r=0.2	n=100	Cooper (z)	0.999866666666667	-0.0613980645901727	3.69986094141377	br=
r=0.2	n=100	Lipsey (z)	0.893372878883649	-0.0696511631469262	0.81928602170943	br=
r=0.2	n=100	Tetrachoric (z)	0.984844444444444	0.00238418032956181	0.97369152913652	br=
