"rr","n","br","br_guess","p_exp","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
1,300,0.3,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0100086787211043,0.00795655710567649,0.251608427871347,0.00562895066362453,0.253553526749183,1.00773065868378,0.0225448177866812,0.25168167955705,0.956,0.00648567652600714,0.993553162352362,"05_rr_to_or",1000
2,300,0.3,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.00463460884201462,0.0080127410666122,0.253385120716615,0.00566869860233642,0.245210910382111,0.967739974978063,0.0216501514693065,0.253300799407131,0.94,0.00750999334220744,0.960958035891074,"05_rr_to_or",1000
0.25,50,0.5,0.01,0.5,"dipietrantonj","population",1000,984,0.016,-0.181252302200961,0.02878169357655,0.902846449277101,0.0203620799173779,0.804856478214225,0.89146551870328,0.0201054034713844,0.920410626916206,0.955284552845528,0.00658866789683034,3.08929504163746,"05_rr_to_or",1000
0.5,50,0.5,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0759374670204934,0.021878423068893,0.69185648510473,0.015478122310571,0.643898593030999,0.93068231185768,0.0208211023027956,0.695667470479236,0.95,0.00689202437604511,2.50612627945357,"05_rr_to_or",1000
0.75,50,0.5,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.0141283685570755,0.0193685207246992,0.612486403982246,0.0137024652922982,0.590035383970313,0.963344459785619,0.0215518155814,0.612343095222053,0.946,0.00714730718522718,2.31005336817436,"05_rr_to_or",1000
1,50,0.5,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0371075922718245,0.0188923783716179,0.597429460720156,0.0133656133375194,0.578602474366748,0.968486679028662,0.0216668566341403,0.598282551960235,0.946,0.00714730718522718,2.26740903402792,"05_rr_to_or",1000
0.25,100,0.5,0.01,0.5,"dipietrantonj","population",1000,998,0.002,-0.0937421750531081,0.019004184127968,0.600363803323429,0.0134447249901465,0.552063418685503,0.919548140026847,0.0205926336488367,0.607341034930369,0.961923847695391,0.00605803255580389,2.12854632056723,"05_rr_to_or",1000
0.5,100,0.5,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0314806304009984,0.0142303894856149,0.450004427658551,0.0100674398832053,0.441397375002288,0.980873404510602,0.0219439708278562,0.450879707924222,0.954,0.00662449998113065,1.72705683402445,"05_rr_to_or",1000
0.75,100,0.5,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0218420397539812,0.0135906166322893,0.429773033642014,0.00961482579655127,0.41191099030111,0.958438426930755,0.0214420584594794,0.430113043612988,0.951,0.00682634602111555,1.61415901136559,"05_rr_to_or",1000
1,100,0.5,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0165500135623236,0.0125989519198094,0.398413841975487,0.00891326208409772,0.404210462571101,1.01454924499328,0.0226973623030018,0.398558350605158,0.945,0.00720936890441875,1.58438623695497,"05_rr_to_or",1000
0.25,300,0.5,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0373520344022178,0.00969654935142799,0.306631813947409,0.00685992662173546,0.301491502954935,0.983236211121408,0.0219968312266609,0.308746207635557,0.945,0.00720936890441875,1.17890442241239,"05_rr_to_or",1000
0.5,300,0.5,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0177433403566237,0.00816261000156913,0.25812439256629,0.00577472496897692,0.250958487110598,0.972238557602214,0.0217507931682425,0.25860471759558,0.95,0.00689202437604511,0.983319402515799,"05_rr_to_or",1000
0.75,300,0.5,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.00351067566420533,0.00717009796221249,0.226738406071234,0.00507256180614283,0.235562547742737,1.03891771943008,0.0232425306088214,0.226652199033134,0.96,0.00619677335393187,0.923325274211862,"05_rr_to_or",1000
1,300,0.5,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.000151466894006677,0.00714233465558554,0.225860453228046,0.00505292036057956,0.231650224636307,1.02563428579688,0.0229453553782563,0.225747545568641,0.956,0.00648567652600714,0.908047846541054,"05_rr_to_or",1000
