"response","n","k","shape","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
"lik5_sym",200,8,"congeneric","alpha","centred",1000,1000,1000,1000,0,5.66383691249367e-17,0.00325246858742515,0.10285208754414,0.00230099337822174,0.107443061870051,1.04463666645503,0.0233704741396629,0.102800648637424,0.961,0.00612200947402077,0.421169063308016,"11a_alpha_vs_omega",1000
"lik7_skew",200,8,"congeneric","alpha","centred",1000,1000,1000,1000,0,-6.01738677061172e-17,0.00346733299284377,0.109646696636346,0.00245300147938997,0.107443061870051,0.979902406238428,0.0219222477821905,0.109591859575334,0.943,0.00733150734842434,0.421169063308016,"11a_alpha_vs_omega",1000
"bin_10",1000,8,"congeneric","alpha","centred",1000,1000,1000,1000,0,7.52839495387833e-17,0.0023654402444827,0.0748017884159087,0.00167345577453918,0.0478570253511981,0.639784507358382,0.0143131748715233,0.0747643781667992,0.783,0.0130349913693872,0.187596092191137,"11a_alpha_vs_omega",1000
"cont_kurt8",1000,8,"congeneric","alpha","centred",1000,1000,1000,1000,0,8.7724871312457e-17,0.00280494324701756,0.0887000936808379,0.00198438683239818,0.0478570253511981,0.539537483730266,0.0120704616406835,0.0886557325409385,0.699,0.0145051370210695,0.187596092191137,"11a_alpha_vs_omega",1000
"cont_normal",1000,8,"congeneric","alpha","centred",1000,1000,1000,1000,0,-4.95193485825982e-17,0.00145041417449192,0.0458661234198735,0.00102611088208139,0.0478570253511981,1.04340680621947,0.0233429598681907,0.0458431846220297,0.959,0.00627048642451286,0.187596092191137,"11a_alpha_vs_omega",1000
"lik5_sev",1000,8,"congeneric","alpha","centred",1000,1000,1000,1000,0,-8.64836902179228e-18,0.00185283340248145,0.0585917367668085,0.00131080663055166,0.0478570253511981,0.816787963491612,0.0182730729174442,0.0585624335707937,0.888,0.00997276290703835,0.187596092191137,"11a_alpha_vs_omega",1000
"lik5_skew",1000,8,"congeneric","alpha","centred",1000,1000,1000,1000,0,3.13050637929663e-17,0.00155364508073598,0.0491305713064187,0.00109914268094758,0.0478570253511981,0.974078340199266,0.0217919525425855,0.0491059998763715,0.945,0.00720936890441875,0.187596092191137,"11a_alpha_vs_omega",1000
"lik5_sym",1000,8,"congeneric","alpha","centred",1000,1000,1000,1000,0,-9.92621342922866e-17,0.00145302528168655,0.0459486938793726,0.00102795813754388,0.0478570253511981,1.04153178927861,0.0233010122357412,0.0459257137859725,0.954,0.00662449998113065,0.187596092191137,"11a_alpha_vs_omega",1000
"lik7_skew",1000,8,"congeneric","alpha","centred",1000,1000,1000,1000,0,2.86417672666117e-17,0.0015556315619422,0.0491933893578265,0.00110054803813355,0.0478570253511981,0.972834479915424,0.0217641250638741,0.0491687865108974,0.948,0.00702111102319284,0.187596092191137,"11a_alpha_vs_omega",1000
"bin_10",200,20,"congeneric","alpha","centred",1000,1000,1000,1000,0,-5.31212985925567e-18,0.00543201182567435,0.171775296461005,0.00384293434519958,0.103114704148291,0.600288320106026,0.0134295713637805,0.171689387330119,0.743,0.0138185020895899,0.404202212814306,"11a_alpha_vs_omega",1000
