"rho","n","p_exp","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.1,50,0.5,"lipsey_cooper","own",1000,1000,0,-0.0058024183952383,0.00428134352369028,0.135387969804724,0.00302888185791912,0.137367642899349,1.0146222230637,0.0226989949587972,0.135444603158303,0.947,0.00708456067798138,0.551975564262555,"01a_smd_to_cor_r",1000
0.25,50,0.5,"lipsey_cooper","own",1000,1000,0,-0.00297928501348377,0.00421729607647971,0.133362611689675,0.00298357081248941,0.131987248538438,0.98968704096439,0.02214114834367,0.133329204414059,0.924,0.00837997613361756,0.529405250120775,"01a_smd_to_cor_r",1000
0.5,50,0.5,"lipsey_cooper","own",1000,1000,0,-0.0107367620517489,0.0036625677726141,0.115820562461902,0.00259112239381999,0.114444727052834,0.988120974550429,0.0221061125117834,0.116259478519638,0.94,0.00750999334220744,0.456478354151135,"01a_smd_to_cor_r",1000
0.75,50,0.5,"lipsey_cooper","own",1000,1000,0,-0.0101791040505472,0.00258971429399314,0.0818939565811322,0.00183212082816204,0.0846120125493405,1.03318994565265,0.0231143896070342,0.0824834993417454,0.95,0.00689202437604511,0.335306675879915,"01a_smd_to_cor_r",1000
0,100,0.5,"lipsey_cooper","own",1000,1000,0,-0.00421447762325619,0.0031302615077827,0.0989875603654622,0.00221453668433812,0.0987965594206,0.998070455073779,0.0223287009817661,0.0990277758592803,0.946,0.00714730718522718,0.392054528797622,"01a_smd_to_cor_r",1000
0.1,100,0.5,"lipsey_cooper","own",1000,1000,0,0.000935200510795769,0.00305237910263789,0.0965247024663661,0.00215943795126779,0.098065578491312,1.01596354078877,0.0227290027425688,0.0964809606504293,0.945,0.00720936890441875,0.389098164508803,"01a_smd_to_cor_r",1000
0.25,100,0.5,"lipsey_cooper","own",1000,1000,0,-0.00269454344785228,0.00295349872143209,0.0933978302612058,0.00208948397745533,0.0942632734097691,1.00926620186082,0.0225791707567251,0.0933900000385259,0.94,0.00750999334220744,0.373681768872637,"01a_smd_to_cor_r",1000
0.5,100,0.5,"lipsey_cooper","own",1000,1000,0,-0.0060170077670637,0.00264715282511418,0.0837103224191019,0.00187275632584995,0.080866329879672,0.966025784428457,0.0216118018237346,0.0838845339970331,0.934,0.00785136930732467,0.319518912768502,"01a_smd_to_cor_r",1000
0.75,100,0.5,"lipsey_cooper","own",1000,1000,0,-0.0012715747919225,0.00173416006222812,0.0548389562394019,0.00122684991805638,0.0585258286711159,1.06723090088766,0.0238759493814091,0.0548262775752381,0.954,0.00662449998113065,0.23061202494169,"01a_smd_to_cor_r",1000
0,300,0.5,"lipsey_cooper","own",1000,1000,0,0.00126253835139158,0.00183931008266021,0.0581640918451885,0.00130123941459743,0.0574923980359247,0.9884517442299,0.0221135124475587,0.058148710404308,0.942,0.00739161687318817,0.226281240542673,"01a_smd_to_cor_r",1000
0.1,300,0.5,"lipsey_cooper","own",1000,1000,0,-6.53823992505793e-05,0.00186528735924565,0.0589855654593699,0.00131961731427598,0.057032918996591,0.966896198288988,0.0216312746081691,0.058956101554353,0.944,0.00727076337120113,0.22445755381733,"01a_smd_to_cor_r",1000
0.25,300,0.5,"lipsey_cooper","own",1000,1000,0,0.000236962954154444,0.00171090774498674,0.0541036534058061,0.00121039981975026,0.0546961640719155,1.01095139845114,0.0226168717532523,0.0540771139946039,0.96,0.00619677335393187,0.21519545300071,"01a_smd_to_cor_r",1000
0.5,300,0.5,"lipsey_cooper","own",1000,1000,0,-0.00400272953881484,0.00147492421230675,0.0466411988701908,0.001043450768139,0.0467255631063031,1.00180879218708,0.0224123345681002,0.0467893991666653,0.952,0.00675988165576884,0.183651430861488,"01a_smd_to_cor_r",1000
0.75,300,0.5,"lipsey_cooper","own",1000,1000,0,0.000145904122819795,0.00101865149259965,0.0322125885854505,0.000720655796108109,0.0336098882134409,1.04337743998076,0.0233423028905598,0.0321968088562388,0.954,0.00662449998113065,0.131948661861651,"01a_smd_to_cor_r",1000
0,25,0.7,"lipsey_cooper","own",1000,999,0.001,0.00684731795551767,0.00624642771225418,0.197430598705602,0.00441910371091718,0.19086651583305,0.966752454201185,0.021638891772137,0.197450523446437,0.930930930930931,0.00802264891807337,0.787928759218548,"01a_smd_to_cor_r",1000
0.1,25,0.7,"lipsey_cooper","own",1000,998,0.002,-0.00861769697191784,0.00611892127930163,0.193303686532476,0.00432890006130253,0.190172055771749,0.983799425572772,0.0220314959847177,0.193398910882464,0.934869739478958,0.00781091098055762,0.785016850447654,"01a_smd_to_cor_r",1000
0.25,25,0.7,"lipsey_cooper","own",1000,998,0.002,-0.0168336030186894,0.00581647819924125,0.18374916545379,0.00411493328381797,0.185430243921473,1.00914876790614,0.0225991766717719,0.18442693560571,0.93186372745491,0.00797627499741704,0.763501413860799,"01a_smd_to_cor_r",1000
0.5,25,0.7,"lipsey_cooper","own",1000,999,0.001,-0.018190136797595,0.00545808445031328,0.172513463766991,0.00386138163442773,0.164007265005745,0.950692551320317,0.02127942177669,0.173383925355649,0.918918918918919,0.00863605933818758,0.669171030278308,"01a_smd_to_cor_r",1000
0.75,25,0.7,"lipsey_cooper","own",1000,1000,0,-0.0209219252913583,0.00416364955127869,0.131666159607787,0.00294561800958475,0.129551472500423,0.983939023408421,0.0220125544507312,0.133253024604226,0.921,0.00852988862764339,0.521535695549892,"01a_smd_to_cor_r",1000
0,50,0.7,"lipsey_cooper","own",1000,1000,0,0.00303157182165449,0.00446705951872997,0.141260825227223,0.00316026860719269,0.13802028910356,0.977059909437377,0.0218586558175254,0.141222719669471,0.933,0.00790638982089803,0.554666574629656,"01a_smd_to_cor_r",1000
0.1,50,0.7,"lipsey_cooper","own",1000,1000,0,0.0044354765734328,0.00446706914833832,0.141261129742177,0.00316027541976119,0.136938403679404,0.969399040835493,0.0216872678725136,0.141260134226517,0.932,0.00796090447122687,0.550167865323161,"01a_smd_to_cor_r",1000
0.25,50,0.7,"lipsey_cooper","own",1000,1000,0,-0.00885029074547287,0.00421558818419679,0.133308603393553,0.00298236254599026,0.132970509030129,0.997463821877833,0.0223151294636744,0.13353553909458,0.931,0.00801492358042171,0.533496520348697,"01a_smd_to_cor_r",1000
0.5,50,0.7,"lipsey_cooper","own",1000,1000,0,-0.00678304156351441,0.00371825142913121,0.117581434292308,0.00263051638686774,0.116268154769228,0.988830893831294,0.0221219947325856,0.117718214178598,0.937,0.00768316341099159,0.464096862755361,"01a_smd_to_cor_r",1000
0.75,50,0.7,"lipsey_cooper","own",1000,1000,0,-0.0133056682129254,0.0027597035662856,0.0872694893635196,0.0019523815407254,0.0901983085280529,1.03356063139471,0.0231226825397129,0.0882348492183681,0.955,0.00655553201502365,0.357880892353898,"01a_smd_to_cor_r",1000
0,100,0.7,"lipsey_cooper","own",1000,1000,0,0.000612685502284752,0.00320595883831823,0.101381320138331,0.00226808956321441,0.0987418990493103,0.973965410142427,0.0217894260862034,0.101332469053322,0.938,0.00762600813007697,0.391828789725672,"01a_smd_to_cor_r",1000
0.1,100,0.7,"lipsey_cooper","own",1000,1000,0,-0.0079343362999394,0.00307440875924503,0.0972213413758654,0.00217502306534806,0.0982779065610803,1.0108676260815,0.0226149976088142,0.0974961072157456,0.948,0.00702111102319284,0.389963224382124,"01a_smd_to_cor_r",1000
