"delta","n","r_cov","r_cov_guess","p_exp","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0,300,0.3,0.3,0.15,"ancova_md_sd","own",1000,1000,0,-0.00076556239064791,0.00493329536945913,0.156004497378527,0.00349011210187397,0.153984578788219,0.987052177185588,0.0220822015176765,0.155928354974003,0.95,0.00689202437604511,0.606077741709537,"07b_ancova_to_smd_g",1000
0.3,300,0.3,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.00292910411892542,0.00509849451792102,0.161228553145126,0.00360698399055824,0.154489327272638,0.958200791726877,0.0214367421159455,0.161174536927707,0.953,0.00669260786241059,0.608061233977091,"07b_ancova_to_smd_g",1000
0.8,300,0.3,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.000765742272510141,0.00496206198563658,0.156914177655493,0.00351046334941378,0.157418020262154,1.00321094380501,0.0224437033197236,0.156837570280141,0.955,0.00655553201502365,0.619570046920415,"07b_ancova_to_smd_g",1000
0,100,0.5,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.00823166057414766,0.00868475447544812,0.27463605061757,0.0061441216117349,0.265794844409684,0.967807554077461,0.0216516633400321,0.274622095932438,0.947,0.00708456067798138,1.05505049440775,"07b_ancova_to_smd_g",1000
0.3,100,0.5,0.3,0.15,"ancova_md_sd","own",1000,1000,0,-0.00210655920126828,0.00832215933772409,0.263169785580466,0.00588759983805687,0.266748606743014,1.01359890594832,0.0226761014428508,0.263046602901642,0.951,0.00682634602111555,1.05881787546168,"07b_ancova_to_smd_g",1000
0.8,100,0.5,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.00718122120213609,0.00874448004850369,0.276524739071713,0.00618637510148195,0.273126282902265,0.987710118881742,0.0220969209027882,0.276479719555186,0.954,0.00662449998113065,1.08400197786715,"07b_ancova_to_smd_g",1000
0,300,0.5,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.0048997764616368,0.00499324618867554,0.157900308741696,0.0035325249444051,0.153987922868802,0.97522243050649,0.021817547980499,0.15789738060714,0.943,0.00733150734842434,0.606090959552694,"07b_ancova_to_smd_g",1000
0.3,300,0.5,0.3,0.15,"ancova_md_sd","own",1000,1000,0,-0.000585656690865871,0.00485828584310407,0.153632487883603,0.00343704581735584,0.15456837358047,1.00609171738191,0.0225081516073849,0.15355676926053,0.956,0.00648567652600714,0.608371896887945,"07b_ancova_to_smd_g",1000
0.8,300,0.5,0.3,0.15,"ancova_md_sd","own",1000,1000,0,-0.00711149617247384,0.00528421072631249,0.167101415314401,0.0037383708907698,0.15808427107241,0.94603789426304,0.0211646353732188,0.167169176270289,0.943,0.00733150734842434,0.622183803565326,"07b_ancova_to_smd_g",1000
0,100,0.7,0.3,0.15,"ancova_md_sd","own",1000,1000,0,-0.00318439184216125,0.00864020820946522,0.273227373999953,0.00611260688367651,0.265787050591594,0.972768748242771,0.0217626545235367,0.273109291413551,0.949,0.00695693898205238,1.05502070471334,"07b_ancova_to_smd_g",1000
0.3,100,0.7,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.000195749411628541,0.00850548213711741,0.268966961511676,0.00601729349570262,0.267273068333508,0.993702225847192,0.0222309755318999,0.268832515660347,0.955,0.00655553201502365,1.0608859572847,"07b_ancova_to_smd_g",1000
0.8,100,0.7,0.3,0.15,"ancova_md_sd","own",1000,1000,0,-0.00090374373321513,0.00901260075231776,0.285003460190712,0.00637605993546484,0.276361523971062,0.969677784915781,0.021693503898425,0.28486235641287,0.943,0.00733150734842434,1.09677515999978,"07b_ancova_to_smd_g",1000
0,300,0.7,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.003352506286835,0.00508154279299133,0.160692492534661,0.00359499131306908,0.153992662948837,0.958306517746128,0.021439107404546,0.160647111328677,0.939,0.00756828910652864,0.606109541167588,"07b_ancova_to_smd_g",1000
0.3,300,0.7,0.3,0.15,"ancova_md_sd","own",1000,1000,0,0.00274796721210801,0.00499663132630581,0.158007356192744,0.00353491979590397,0.154866481239814,0.980121970086644,0.0219271598357317,0.157952238383026,0.958,0.00634318531969546,0.609542784230579,"07b_ancova_to_smd_g",1000
0.8,300,0.7,0.3,0.15,"ancova_md_sd","own",1000,1000,0,-0.00391169967733912,0.00498869559991368,0.157756406489873,0.00352930558214945,0.16000476372097,1.0142520819352,0.0226907142101414,0.157726022263846,0.953,0.00669260786241059,0.629734780719621,"07b_ancova_to_smd_g",1000
0,100,0,0.5,0.15,"ancova_md_sd","own",1000,1000,0,-0.00055843727329755,0.00724855993288631,0.22921959144158,0.00512807055899003,0.241199352955576,1.05226325306076,0.0235410951323647,0.229105633566118,0.968,0.00556560868189635,0.957423353648107,"07b_ancova_to_smd_g",1000
0.3,100,0,0.5,0.15,"ancova_md_sd","own",1000,1000,0,0.0013394767057774,0.0079004014957256,0.249832631562939,0.00558922278211737,0.242007106466594,0.9686769296413,0.0216711128958296,0.249711276572995,0.944,0.00727076337120113,0.960613794089996,"07b_ancova_to_smd_g",1000
0.8,100,0,0.5,0.15,"ancova_md_sd","own",1000,1000,0,-0.0170180954871475,0.00810294045151827,0.256237475715109,0.0057325111132984,0.246020698509002,0.96012770115849,0.0214798506803747,0.256674116129578,0.941,0.00745110730026082,0.9764568087116,"07b_ancova_to_smd_g",1000
0,300,0,0.5,0.15,"ancova_md_sd","own",1000,1000,0,0.00377822832571438,0.00437044617179033,0.13820564294021,0.00309191847080231,0.139787940025732,1.0114488602047,0.0226280009021902,0.138188183105711,0.956,0.00648567652600714,0.550200339745369,"07b_ancova_to_smd_g",1000
0.3,300,0,0.5,0.15,"ancova_md_sd","own",1000,1000,0,-0.00166102081807561,0.00434089690817357,0.137271213178113,0.00307101353103552,0.140183030011181,1.02121214467078,0.0228464238184632,0.137212614476882,0.945,0.00720936890441875,0.551752791408394,"07b_ancova_to_smd_g",1000
0.8,300,0,0.5,0.15,"ancova_md_sd","own",1000,1000,0,-0.00166699272308967,0.00448711871614925,0.141895152746022,0.00317445969903372,0.142613182876864,1.00506028653514,0.0224850765721067,0.141833983950191,0.951,0.00682634602111555,0.561302195406229,"07b_ancova_to_smd_g",1000
0,100,0.3,0.5,0.15,"ancova_md_sd","own",1000,1000,0,-0.00178711772817652,0.00756065835755131,0.239089010202498,0.00534886789775115,0.241247235911011,1.00902687123379,0.0225738164834073,0.238976118126028,0.955,0.00655553201502365,0.957611700734541,"07b_ancova_to_smd_g",1000
0.3,100,0.3,0.5,0.15,"ancova_md_sd","own",1000,1000,0,-0.00203096845229183,0.00758081506330998,0.239726421205731,0.00536312797290046,0.242006416660375,1.00951082255838,0.022584643378805,0.239615135373243,0.958,0.00634318531969546,0.960608239330146,"07b_ancova_to_smd_g",1000
