"rho","n","p_split","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.5,50,0.3,"biserial_split_p","own",1000,1000,0,0.00350296375029708,0.00711365811233672,0.22495362130718,0.00503263283608788,0.222279773453107,0.988113781682928,0.0221059515938975,0.224868402321248,0.944,0.00727076337120113,0.893170154851881,"02b_cor_to_smd_CONT",1000
0.75,50,0.3,"biserial_split_p","own",1000,1000,0,-0.0045276959920678,0.00588636846519697,0.18614331497012,0.00416437376599358,0.185166256238627,0.994751040446175,0.0222544394741967,0.186105304613689,0.943,0.00733150734842434,0.741289386209601,"02b_cor_to_smd_CONT",1000
0,100,0.3,"biserial_split_p","own",1000,1000,0,-0.00434166707558824,0.00528793074366995,0.167219052592251,0.00374100265648138,0.166161801244036,0.993677446846965,0.0222304211793651,0.167191804258747,0.943,0.00733150734842434,0.659483732234717,"02b_cor_to_smd_CONT",1000
0.1,100,0.3,"biserial_split_p","own",1000,1000,0,0.00897604091380716,0.00516885396602253,0.163453514254258,0.00365676052792523,0.1658990735801,1.01496180328089,0.0227065920027638,0.16361816397097,0.951,0.00682634602111555,0.658437668364905,"02b_cor_to_smd_CONT",1000
0.25,100,0.3,"biserial_split_p","own",1000,1000,0,0.0020616748968268,0.00507081122427883,0.16035313053468,0.00358739915102918,0.164488007185654,1.02578606751977,0.0229487510190025,0.160286193570064,0.959,0.00627048642451286,0.65281607870408,"02b_cor_to_smd_CONT",1000
0.5,100,0.3,"biserial_split_p","own",1000,1000,0,0.00301990167056685,0.00501447447111,0.158571605974758,0.00354754311783238,0.156936683679153,0.989689690751665,0.0221412076243625,0.158521068231615,0.952,0.00675988165576884,0.622652288995134,"02b_cor_to_smd_CONT",1000
0.75,100,0.3,"biserial_split_p","own",1000,1000,0,0.0010348815049563,0.00439524089164985,0.138989720827229,0.00310945975819004,0.130316533744671,0.937598355972394,0.0209758271323195,0.138924063188724,0.933,0.00790638982089803,0.515936731362467,"02b_cor_to_smd_CONT",1000
0,300,0.3,"biserial_split_p","own",1000,1000,0,0.00745782630045512,0.00314357685900222,0.0994086287424499,0.0022239567707006,0.0957024550886378,0.96271778717103,0.0215377957440694,0.099638409090639,0.937,0.00768316341099159,0.37667643700157,"02b_cor_to_smd_CONT",1000
0.1,300,0.3,"biserial_split_p","own",1000,1000,0,0.00130120088035175,0.00290652752191206,0.0919124705120708,0.00205625370446189,0.0955716157131408,1.03981119407066,0.023262519305995,0.0918757174509548,0.963,0.00596917079668525,0.376160955537821,"02b_cor_to_smd_CONT",1000
0.25,300,0.3,"biserial_split_p","own",1000,1000,0,-0.00292816762811548,0.00296885143495856,0.093883325691283,0.00210034541737783,0.0947915047069399,1.00967348577577,0.0225882824589154,0.0938820479627016,0.957,0.00641490451994416,0.373087027853745,"02b_cor_to_smd_CONT",1000
0.5,300,0.3,"biserial_split_p","own",1000,1000,0,-0.00576735672629642,0.00285364633930588,0.0902402206880824,0.00201884235128855,0.0906419276843981,1.00445152940953,0.0224714575377398,0.0903792926284132,0.955,0.00655553201502365,0.356723291571073,"02b_cor_to_smd_CONT",1000
0.75,300,0.3,"biserial_split_p","own",1000,1000,0,0.00223016535773319,0.00236781778693436,0.0748769729097185,0.00167513779214847,0.0751624242066719,1.00381227079382,0.0224571561280471,0.0748727463672426,0.945,0.00720936890441875,0.295613945759699,"02b_cor_to_smd_CONT",1000
0,25,0.5,"biserial_split_p","own",1000,1000,0,0.00578778305071112,0.0106552506143979,0.336948609814058,0.00753816999242176,0.324889382885629,0.964210486177451,0.0215711902099618,0.336829823089662,0.957,0.00641490451994416,1.34415037143049,"02b_cor_to_smd_CONT",1000
0.1,25,0.5,"biserial_split_p","own",1000,1000,0,0.0020788965218521,0.0106324419385811,0.336227336154125,0.00752203375294408,0.324567711844042,0.965322200022611,0.0215960613259233,0.336065610508529,0.943,0.00733150734842434,1.34279836334623,"02b_cor_to_smd_CONT",1000
0.25,25,0.5,"biserial_split_p","own",1000,1000,0,0.0244182537622315,0.0106455655586997,0.336642341461339,0.00753131819710683,0.322537513515429,0.958101444147867,0.0214345195249714,0.337358843244556,0.944,0.00727076337120113,1.33424697035328,"02b_cor_to_smd_CONT",1000
0.5,25,0.5,"biserial_split_p","own",1000,1000,0,0.0377720044728171,0.010371678494179,0.327981272005911,0.00733755389011883,0.311619244657652,0.95011292185011,0.0212558013545597,0.329986162427643,0.946,0.00714730718522718,1.28808991547281,"02b_cor_to_smd_CONT",1000
0.75,25,0.5,"biserial_split_p","own",1000,1000,0,0.00346641993193305,0.00879569304171353,0.278144236115091,0.0062226062763841,0.271891488489533,0.977519765597547,0.0218689436590729,0.2780267396045,0.939,0.00756828910652864,1.11787539563286,"02b_cor_to_smd_CONT",1000
0,50,0.5,"biserial_split_p","own",1000,1000,0,0.00526319032391457,0.0074296373251614,0.234945761365111,0.00525617567956877,0.22769341983064,0.969131847740805,0.0216812902637332,0.234887233465409,0.945,0.00720936890441875,0.915614790192704,"02b_cor_to_smd_CONT",1000
0.1,50,0.5,"biserial_split_p","own",1000,1000,0,0.00850096071186204,0.00708943419677848,0.224187593837063,0.00501549537025358,0.227556350823041,1.01502650939921,0.0227080395995344,0.224236668469379,0.955,0.00655553201502365,0.91506177947116,"02b_cor_to_smd_CONT",1000
0.25,50,0.5,"biserial_split_p","own",1000,1000,0,-0.00014099854858969,0.00717774984595634,0.226980379881448,0.0050779752124071,0.226614162154533,0.998386566596172,0.0223357729871787,0.226866905120306,0.951,0.00682634602111555,0.911253947851759,"02b_cor_to_smd_CONT",1000
0.5,50,0.5,"biserial_split_p","own",1000,1000,0,0.0203336732560075,0.00701869790868962,0.221950716001197,0.00496545223344306,0.219968794039909,0.991070441235805,0.0221720975926348,0.222769648922811,0.941,0.00745110730026082,0.884225879688506,"02b_cor_to_smd_CONT",1000
0.75,50,0.5,"biserial_split_p","own",1000,1000,0,0.00491272884831748,0.00639020146297394,0.202075913303378,0.00452081576088221,0.191774046573019,0.949019818532788,0.0212313465908798,0.202034588542145,0.935,0.0077958322198467,0.768648213754931,"02b_cor_to_smd_CONT",1000
0,100,0.5,"biserial_split_p","own",1000,1000,0,0.00812097786725896,0.00509317494652247,0.161060333527173,0.00360322060338508,0.160298019637221,0.995266904809784,0.0222659803239069,0.161184493318584,0.942,0.00739161687318817,0.636212159353278,"02b_cor_to_smd_CONT",1000
0.1,100,0.5,"biserial_split_p","own",1000,1000,0,0.00236212416123958,0.00524954090939498,0.166005059439198,0.00371384336129271,0.160197670566741,0.965016795921313,0.0215892288655275,0.165938849309633,0.94,0.00750999334220744,0.635813220364773,"02b_cor_to_smd_CONT",1000
0.25,100,0.5,"biserial_split_p","own",1000,1000,0,-0.00443659720598779,0.00518431001703363,0.163942277502526,0.0036676950750466,0.159626525457715,0.973675173295403,0.0217829329456258,0.163920336374504,0.944,0.00727076337120113,0.633541234738133,"02b_cor_to_smd_CONT",1000
0.5,100,0.5,"biserial_split_p","own",1000,1000,0,0.00496040323015148,0.00501375157592257,0.158548746021739,0.00354703169796936,0.155468120203125,0.980569850623782,0.0219371797602154,0.158547067965342,0.946,0.00714730718522718,0.61695857902224,"02b_cor_to_smd_CONT",1000
0.75,100,0.5,"biserial_split_p","own",1000,1000,0,0.00505314896630929,0.00439630206531423,0.139023278084953,0.00311021049674731,0.135563102402929,0.975110817917061,0.0218150509983245,0.139045599326668,0.935,0.0077958322198467,0.537232564335787,"02b_cor_to_smd_CONT",1000
0,300,0.5,"biserial_split_p","own",1000,1000,0,-0.00245316921320042,0.00284199073422392,0.0898716380924183,0.00201059646992433,0.0922720404441979,1.02670923110705,0.0229694039133877,0.0898601828468527,0.955,0.00655553201502365,0.363174715575102,"02b_cor_to_smd_CONT",1000
0.1,300,0.5,"biserial_split_p","own",1000,1000,0,-0.000660968033197954,0.00290530900895925,0.0918739377491776,0.00205539165455723,0.0922254764389901,1.00382631569327,0.0224574703386908,0.0918303680480653,0.953,0.00669260786241059,0.362991378748169,"02b_cor_to_smd_CONT",1000
0.25,300,0.5,"biserial_split_p","own",1000,1000,0,0.000595788374100062,0.00278488192062083,0.0880656988378607,0.0019701942343895,0.0919193446546224,1.04375876042109,0.0233508337413099,0.0880236712951448,0.967,0.00564898220921256,0.361785830660534,"02b_cor_to_smd_CONT",1000
0.5,300,0.5,"biserial_split_p","own",1000,1000,0,0.00124335274955623,0.00286461594572925,0.0905871101014172,0.00202660291563019,0.0896708229309234,0.989885015986624,0.0221455774148351,0.0905503418992418,0.947,0.00708456067798138,0.352922741729024,"02b_cor_to_smd_CONT",1000
0.75,300,0.5,"biserial_split_p","own",1000,1000,0,-0.00563927677788829,0.00243690021218635,0.0770615510105647,0.00172401088616416,0.0785691447837117,1.01956350155657,0.0228095405914969,0.0772291758604696,0.952,0.00675988165576884,0.309108911965077,"02b_cor_to_smd_CONT",1000
0,25,0.15,"cooper","own",1000,1000,0,-0.0154242465929301,0.0139907696665708,0.442426983651584,0.00989791830226122,0.418119988839435,0.945059872678807,0.0211427552029392,0.442474633860672,0.97,0.00539444158370447,1.72890967799978,"02b_cor_to_smd_CONT",1000
