"delta","n","p_exp","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.2,50,0.5,"biserial_split_p","own",1000,1000,1000,1000,0,0.00791183634581466,0.0073368450501564,0.232011411982265,0.00519052880102177,0.227534909848758,0.980705681262566,0.0219402185454055,0.232030306531447,0.942,0.00739161687318817,0.914974972678493,"02a_cor_to_smd_GROUPS",1000
0.5,50,0.5,"biserial_split_p","own",1000,1000,1000,1000,0,0.0209167103573448,0.00684491158062429,0.21645510977236,0.00484250525352453,0.226608926581592,1.04690957316697,0.0234213233097514,0.217355631406667,0.96,0.00619677335393187,0.911234967896736,"02a_cor_to_smd_GROUPS",1000
0.8,50,0.5,"biserial_split_p","own",1000,1000,1000,1000,0,0.0116756425872739,0.00679121348289877,0.214757026824051,0.00480451596509074,0.224677977703754,1.04619616422531,0.0234053630187168,0.214966929129951,0.962,0.00604615580348373,0.90342080360414,"02a_cor_to_smd_GROUPS",1000
1.2,50,0.5,"biserial_split_p","own",1000,1000,1000,1000,0,0.0164453162840176,0.00666251803895698,0.210687319550625,0.00471346900910714,0.219468972303779,1.04168097430773,0.0233043497835959,0.211223118764233,0.965,0.00581162627841812,0.882259042522441,"02a_cor_to_smd_GROUPS",1000
0,100,0.5,"biserial_split_p","own",1000,1000,1000,1000,0,0.00227923217349855,0.00501260287690715,0.158512420969392,0.00354621903867474,0.160300888323187,1.01128282151554,0.0226242863064693,0.158449538696952,0.948,0.00702111102319284,0.636223541089147,"02a_cor_to_smd_GROUPS",1000
0.2,100,0.5,"biserial_split_p","own",1000,1000,1000,1000,0,0.00220456171359217,0.00520342379069803,0.16454670809713,0.00368121731683079,0.160200392636477,0.973586129367669,0.0217809408665832,0.164479189014312,0.948,0.00702111102319284,0.635824058960085,"02a_cor_to_smd_GROUPS",1000
0.5,100,0.5,"biserial_split_p","own",1000,1000,1000,1000,0,0.00645786092815214,0.00504171771498888,0.159433112989845,0.00356681663949187,0.159646018199542,1.001335388902,0.0224017436520555,0.159484176543889,0.953,0.00669260786241059,0.633619317622997,"02a_cor_to_smd_GROUPS",1000
0.8,100,0.5,"biserial_split_p","own",1000,1000,1000,1000,0,0.00702955274600102,0.00479788593028559,0.151722474933783,0.00339431525879555,0.158372273831241,1.04382870039762,0.0233523984292683,0.151809434168108,0.956,0.00648567652600714,0.628548165774055,"02a_cor_to_smd_GROUPS",1000
1.2,100,0.5,"biserial_split_p","own",1000,1000,1000,1000,0,0.011421168068766,0.00458732912440056,0.145064084099317,0.00324535461457776,0.154938817806624,1.06807152692976,0.0238947557566866,0.145440668271062,0.961,0.00612200947402077,0.614856555724551,"02a_cor_to_smd_GROUPS",1000
0,300,0.5,"biserial_split_p","own",1000,1000,1000,1000,0,0.00101235369654328,0.00280976214137771,0.088852480500656,0.00198779601029338,0.0922723819993177,1.03848965700667,0.023232954052572,0.0888138130463682,0.949,0.00695693898205238,0.363176060863423,"02a_cor_to_smd_GROUPS",1000
0.2,300,0.5,"biserial_split_p","own",1000,1000,1000,1000,0,0.00336481934521586,0.00286748463788027,0.0906778261124479,0.00202863240230046,0.0922237497031541,1.01704852946948,0.0227532759666653,0.0906949154559218,0.961,0.00612200947402077,0.362984570214788,"02a_cor_to_smd_GROUPS",1000
0.5,300,0.5,"biserial_split_p","own",1000,1000,1000,1000,0,-0.000277131116446372,0.00286278069282297,0.0905290743087545,0.00202530454650803,0.09194461139939,1.01563627046277,0.0227216810938691,0.0904842228433249,0.947,0.00708456067798138,0.361885321563996,"02a_cor_to_smd_GROUPS",1000
0.8,300,0.5,"biserial_split_p","own",1000,1000,1000,1000,0,0.0125364528500447,0.00279329932434728,0.0883318805154683,0.00197614921587994,0.0912097169185566,1.03257981587502,0.0231007398638767,0.0891733213710523,0.962,0.00604615580348373,0.358990072632337,"02a_cor_to_smd_GROUPS",1000
1.2,300,0.5,"biserial_split_p","own",1000,1000,1000,1000,0,0.00484776603305234,0.00256831010869851,0.0812170968112191,0.00181697821039178,0.0893796361299624,1.10050272220043,0.0246203021928112,0.0813211007865715,0.966,0.00573096850453743,0.351777089451737,"02a_cor_to_smd_GROUPS",1000
0,25,0.15,"cooper","own",1000,1000,1000,1000,0,-0.0380662334043122,0.0136667879349014,0.432181781727974,0.00966871399199719,0.417734133425531,0.966570436530948,0.0216239867089536,0.433639653964787,0.972,0.0052168956286282,1.7275046190678,"02a_cor_to_smd_GROUPS",1000
0.2,25,0.15,"cooper","own",1000,1000,1000,1000,0,0.00131770384140989,0.0132314742539659,0.418415954444095,0.00936074671411032,0.41817007295338,0.999412351541323,0.0223587217130882,0.418208770072847,0.971,0.00530650544143696,1.72905735245657,"02a_cor_to_smd_GROUPS",1000
0.5,25,0.15,"cooper","own",1000,1000,1000,1000,0,0.0442059242638655,0.014185538144687,0.448586103724102,0.0100357093266432,0.426702215922625,0.951215858851177,0.0212804761161192,0.450535710795425,0.963,0.00596917079668525,1.76281460877164,"02a_cor_to_smd_GROUPS",1000
0.8,25,0.15,"cooper","own",1000,1000,1000,1000,0,0.0489057900766581,0.0139249746381513,0.44034636216637,0.0098513709119809,0.437680443655536,0.993945860032275,0.0222364260838524,0.442834946743711,0.965,0.00581162627841812,1.80650367730742,"02a_cor_to_smd_GROUPS",1000
1.2,25,0.15,"cooper","own",1000,1000,1000,1000,0,0.0666429780581562,0.0143090059584952,0.452490498817656,0.0101230579402761,0.46099532007408,1.01879557974951,0.0227923607458056,0.457147886786312,0.973,0.00512552436341883,1.89985059510646,"02a_cor_to_smd_GROUPS",1000
