"n","k","icc","rater_share","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
20,2,0.8,0,"consistency","population",1000,1000,1000,1000,0,-0.00363165763214273,0.0129143401289548,0.408387292856097,0.00913638681576108,0.409731473210464,1.00329143530634,0.0224455040650073,0.408199203480999,0.939,0.00756828910652864,1.60409640885466,"10a_icc_agreement_coverage",1000
50,2,0.8,0,"consistency","population",1000,1000,1000,1000,0,-0.0118967896261991,0.00792213835267191,0.250520011334175,0.00560460075197392,0.256693745611929,1.02464367714529,0.0229231936117608,0.250677181662405,0.953,0.00669260786241059,1.00581143667398,"10a_icc_agreement_coverage",1000
200,2,0.8,0,"consistency","population",1000,1000,1000,1000,0,0.00529973216727543,0.00407170270590749,0.128758545057384,0.0028805692391937,0.127418602932018,0.989593373202774,0.0221390528208238,0.128803227146737,0.944,0.00727076337120113,0.499419319037248,"10a_icc_agreement_coverage",1000
1000,2,0.8,0,"consistency","population",1000,1000,1000,1000,0,-0.00350805265799648,0.00176982607604766,0.0559668146266897,0.00125208221759145,0.0569628727610585,1.01779729900679,0.0227700273402962,0.0560487153159648,0.959,0.00627048642451286,0.223286076358041,"10a_icc_agreement_coverage",1000
20,3,0.8,0,"consistency","population",1000,1000,1000,1000,0,0.00878991832813324,0.0108977026117663,0.34461561516347,0.0077096952279423,0.341233311197385,0.990185285235897,0.0221522949989966,0.344555401868115,0.938,0.00762600813007697,1.33526503271779,"10a_icc_agreement_coverage",1000
50,3,0.8,0,"consistency","population",1000,1000,1000,1000,0,0.00404093106347399,0.00685684708938526,0.216832543699536,0.00485094915571344,0.213650086190606,0.985322971106497,0.0220435159466533,0.216761769643689,0.942,0.00739161687318817,0.83697514668987,"10a_icc_agreement_coverage",1000
200,3,0.8,0,"consistency","population",1000,1000,1000,1000,0,-0.00401887905189579,0.00348303790730606,0.110143329637936,0.00246411208759783,0.106393104379333,0.965951408306514,0.0216101378909144,0.110161576329957,0.946,0.00714730718522718,0.41699359294542,"10a_icc_agreement_coverage",1000
1000,3,0.8,0,"consistency","population",1000,1000,1000,1000,0,0.00191589836747522,0.00147124186123733,0.0465247527049536,0.00104084564984216,0.0474723352320245,1.0203672770295,0.0228275225506865,0.0465409360477132,0.952,0.00675988165576884,0.186083338118148,"10a_icc_agreement_coverage",1000
20,2,0.8,0.2,"consistency","population",1000,1000,1000,1000,0,-0.0319035204006857,0.0138314851997799,0.437389966542136,0.00978523081782046,0.410603796937516,0.938759067071468,0.0210017944084028,0.438333785445357,0.929,0.00812151463706124,1.60731630125324,"10a_icc_agreement_coverage",1000
50,2,0.8,0.2,"consistency","population",1000,1000,1000,1000,0,-0.0287031586691249,0.00950920760142065,0.300707547638759,0.00672738971487709,0.25681855889121,0.85404759843184,0.0191066405709508,0.301924618895668,0.898,0.00957057991973318,1.00609311165765,"10a_icc_agreement_coverage",1000
200,2,0.8,0.2,"consistency","population",1000,1000,1000,1000,0,-0.0282245932891204,0.0065380247668345,0.206750496617883,0.00462539492411997,0.127721105135773,0.617754768308139,0.0138203284462448,0.208565696484887,0.78,0.0130996183150503,0.50050510778198,"10a_icc_agreement_coverage",1000
1000,2,0.8,0.2,"consistency","population",1000,1000,1000,1000,0,-0.0262230196261483,0.00580334574005104,0.183517905879967,0.00410563845905125,0.0570144436302463,0.310675099287246,0.00695038246969512,0.185291094538036,0.419,0.0156025318458255,0.223431577456633,"10a_icc_agreement_coverage",1000
20,3,0.8,0.2,"consistency","population",1000,1000,1000,1000,0,0.0107948273323862,0.0120237224159293,0.380223487879591,0.00850630987416613,0.340548470246633,0.895653427792651,0.0200374407145412,0.380186610931688,0.908,0.00913980306133562,1.3320845320243,"10a_icc_agreement_coverage",1000
