rr	n	br	br_guess	method	bias_ci	bias_es	bias_var
RR=0.25	n=50	br=0.05	guessed br=0.05	dipietrantonj (br)	1	-0.0266218654742745	2.04218844654361
RR=0.25	n=50	br=0.05	guessed br=0.05	dipietrantonj (random)	1	-0.0266218654742745	2.04218844654361
RR=0.25	n=50	br=0.05	guessed br=0.05	Grant	1	-0.0275933889611568	2.53185794940328
RR=0.25	n=50	br=0.05	guessed br=0.05	metaumbrella (cases)	1	0	3.06787602807741
RR=0.25	n=50	br=0.05	guessed br=0.05	metaumbrella (exp)	0.495859213250518	0.390254203201374	0.982726700305996
RR=0.25	n=50	br=0.05	guessed br=0.05	OR = RR	1	-0.0394582846179747	2.87523073242269
RR=0.25	n=50	br=0.05	guessed br=0.15	dipietrantonj (br)	1	-0.0260429833092278	2.04746047618753
RR=0.25	n=50	br=0.05	guessed br=0.15	dipietrantonj (random)	1	-0.0260429833092278	2.04746047618753
RR=0.25	n=50	br=0.05	guessed br=0.15	Grant	0.999933333333333	0.00249757887900783	2.38591307826177
RR=0.25	n=50	br=0.05	guessed br=0.15	metaumbrella (cases)	1	0	2.98021186402319
RR=0.25	n=50	br=0.05	guessed br=0.15	metaumbrella (exp)	0.495793269230769	0.392751208261912	0.999621524417289
RR=0.25	n=50	br=0.05	guessed br=0.15	OR = RR	1	-0.0393870150386426	2.88442114514304
RR=0.25	n=50	br=0.05	guessed br=0.5	dipietrantonj (br)	1	-0.0264174273508019	2.07789143758845
RR=0.25	n=50	br=0.05	guessed br=0.5	dipietrantonj (random)	1	-0.0264174273508019	2.07789143758845
RR=0.25	n=50	br=0.05	guessed br=0.5	Grant	0.984333333333333	0.163428136301971	2.61988562413187
RR=0.25	n=50	br=0.05	guessed br=0.5	metaumbrella (cases)	1	0	3.02732344976219
RR=0.25	n=50	br=0.05	guessed br=0.5	metaumbrella (exp)	0.501085033218709	0.3836077784926	0.996374253314189
RR=0.25	n=50	br=0.05	guessed br=0.5	OR = RR	1	-0.0386941540641028	2.90300269696366
RR=0.25	n=50	br=0.15	guessed br=0.01	dipietrantonj (br)	1	0.0392454758637554	1.63783458703784
RR=0.25	n=50	br=0.15	guessed br=0.01	dipietrantonj (random)	1	0.0392454758637554	1.63783458703784
RR=0.25	n=50	br=0.15	guessed br=0.01	Grant	1	-0.121658150470626	1.89164673874652
RR=0.25	n=50	br=0.15	guessed br=0.01	metaumbrella (cases)	1	0	2.1294040229002
RR=0.25	n=50	br=0.15	guessed br=0.01	metaumbrella (exp)	0.509035307200445	0.584177071289341	0.780327918034656
RR=0.25	n=50	br=0.15	guessed br=0.01	OR = RR	1	-0.127484755354923	1.91320443025762
RR=0.25	n=50	br=0.15	guessed br=0.05	dipietrantonj (br)	1	0.0389392323107757	1.64414475322776
RR=0.25	n=50	br=0.15	guessed br=0.05	dipietrantonj (random)	1	0.0389392323107757	1.64414475322776
RR=0.25	n=50	br=0.15	guessed br=0.05	Grant	1	-0.0977128749138365	1.85105806270665
RR=0.25	n=50	br=0.15	guessed br=0.05	metaumbrella (cases)	1	0	2.12697267370569
RR=0.25	n=50	br=0.15	guessed br=0.05	metaumbrella (exp)	0.506299596268968	0.584854686534904	0.775025342646282
RR=0.25	n=50	br=0.15	guessed br=0.05	OR = RR	1	-0.127643148285504	1.92215731696822
RR=0.25	n=50	br=0.15	guessed br=0.15	dipietrantonj (br)	1	0.0388069429476472	1.64684402263674
RR=0.25	n=50	br=0.15	guessed br=0.15	dipietrantonj (random)	1	0.0388069429476472	1.64684402263674
RR=0.25	n=50	br=0.15	guessed br=0.15	Grant	1	-0.0321593542010608	1.79933725527953
RR=0.25	n=50	br=0.15	guessed br=0.15	metaumbrella (cases)	1	0	2.16311937591907
