"response","n","k","shape","method","n_valid","C","scale_mean","scale_sd","mean_item","floor_position","sd_over_max","se_ratio","c_variance_error","coverage_centred"
"q7_d00",200,8,"congeneric","alpha",1000,7,31.98431,10.9267562007991,3.99803875,0.499673125,0.455281605657831,1.02770419408979,0.946811975175132,0.958
"q2_d00",200,8,"congeneric","alpha",1000,2,11.99839,2.43039996657547,1.49979875,0.49979875,0.60760004086137,1.06775629345099,0.877113348100995,0.958
"q5_d00",200,8,"congeneric","alpha",1000,5,23.999155,7.63626744258437,2.999894375,0.49997359375,0.47726671582711,0.98509274524534,1.03049469079303,0.955
"q3_d00",200,8,"congeneric","alpha",1000,3,16.000305,4.24462747491944,2.000038125,0.5000190625,0.530578434750532,1.01762087255386,0.965668327608034,0.945
"q2_d16",1000,8,"congeneric","alpha",1000,2,8.43824,0.954260882536354,1.05478,0.0547800000000001,0.524203201835007,0.514036292337663,3.78453420806246,0.682
"q3_d16",1000,8,"congeneric","alpha",1000,3,9.137091,1.87063054667311,1.142136375,0.0710681875,0.4550283979558,0.599876210396689,2.77892433262516,0.769
"q5_d16",1000,8,"congeneric","alpha",1000,5,10.818943,3.74967259430909,1.352367875,0.08809196875,0.413427814812463,0.69131300519808,2.09242811066935,0.823
"q7_d16",1000,8,"congeneric","alpha",1000,7,12.654051,5.62294409397057,1.581756375,0.0969593958333334,0.395889459336482,0.662528288388636,2.27819632680175,0.795
"q2_d12",1000,8,"congeneric","alpha",1000,2,8.922088,1.42480800920193,1.115261,0.115261,0.557721752405848,0.675867885660137,2.1891543219838,0.82
"q3_d12",1000,8,"congeneric","alpha",1000,3,10.179595,2.67386063969828,1.272449375,0.1362246875,0.487181156258237,0.756623905509427,1.74678672436928,0.861
"q5_d12",1000,8,"congeneric","alpha",1000,5,13.009423,5.12757929329241,1.626177875,0.15654446875,0.440973455576482,0.801426506187886,1.55694257904601,0.881
"q7_d12",1000,8,"congeneric","alpha",1000,7,15.985935,7.53456406446664,1.998241875,0.166373645833333,0.421491584355916,0.823161082897652,1.47580963154594,0.886
"q2_d08",1000,8,"congeneric","alpha",1000,2,9.693987,1.91042036949346,1.211748375,0.211748375,0.58451609285071,0.84930246438744,1.38635748481539,0.903
"q3_d08",1000,8,"congeneric","alpha",1000,3,11.718312,3.45668180642811,1.464789,0.2323945,0.511513923126527,0.903914842033588,1.22389726731433,0.926
"q5_d08",1000,8,"congeneric","alpha",1000,5,16.042074,6.393719546263,2.00525925,0.2513148125,0.460622279719091,0.92988438808164,1.15649054705855,0.936
"q7_d08",1000,8,"congeneric","alpha",1000,7,20.485256,9.27710044811877,2.560657,0.2601095,0.440564184955265,0.943624827976904,1.12305566162671,0.931
"q2_d04",1000,8,"congeneric","alpha",1000,2,10.754459,2.28586042490401,1.344307375,0.344307375,0.601362592718142,1.00614049515448,0.987831207663645,0.957
"q3_d04",1000,8,"congeneric","alpha",1000,3,13.724758,4.03851079111532,1.71559475,0.357797375,0.526558529127018,1.02858537101679,0.945190424803211,0.952
"q5_d04",1000,8,"congeneric","alpha",1000,5,19.810649,7.31644968426924,2.476331125,0.36908278125,0.473807934845683,1.05252456833344,0.902683524435416,0.956
"q7_d04",1000,8,"congeneric","alpha",1000,7,25.957526,10.4860808020036,3.24469075,0.374115125,0.451462935336997,1.01492779348812,0.97079986801431,0.951
"q3_d00",1000,8,"congeneric","alpha",1000,3,15.998356,4.25220118444548,1.9997945,0.49989725,0.531525159278905,1.07625910626714,0.863309106203147,0.965
"q7_d00",1000,8,"congeneric","alpha",1000,7,31.995372,10.9186378754476,3.9994215,0.499903583333333,0.45494325326878,1.04912242344156,0.908547548621786,0.959
"q2_d00",1000,8,"congeneric","alpha",1000,2,11.999774,2.42861365007233,1.49997175,0.49997175,0.607153413487176,1.02673126095452,0.948607228202014,0.951
"q5_d00",1000,8,"congeneric","alpha",1000,5,24.0084,7.64236950698342,3.00105,0.5002625,0.477648160012355,1.04778578825606,0.910867051755203,0.958
"q2_d16",200,8,"congeneric","omega",1000,2,8.439375,0.951285171084874,1.054921875,0.054921875,0.521932339090167,0.483282892214794,4.28151191007458,0.653
"q3_d16",200,8,"congeneric","omega",1000,3,9.13711,1.85528725667038,1.14213875,0.071069375,0.451292681104582,0.561388982297787,3.17301576573146,0.733
"q5_d16",200,8,"congeneric","omega",1000,5,10.82354,3.72739392287623,1.3529425,0.088235625,0.410669095571163,0.642093231735438,2.4255141684173,0.793
"q7_d16",200,8,"congeneric","omega",1000,7,12.6546,5.60370893439751,1.581825,0.0969708333333333,0.394514417532352,0.672789474351089,2.20923351588116,0.804
"q2_d12",200,8,"congeneric","omega",1000,2,8.920565,1.41842008897814,1.115070625,0.115070625,0.555620607184775,0.672768179402268,2.20937337463386,0.807
"q3_d12",200,8,"congeneric","omega",1000,3,10.175345,2.66433503535886,1.271918125,0.1359590625,0.485844860226169,0.732431429655631,1.86408647569722,0.858
"q5_d12",200,8,"congeneric","omega",1000,5,12.99736,5.10967983007452,1.62467,0.1561675,0.439865861266339,0.790069359544782,1.60202600438699,0.873
"q7_d12",200,8,"congeneric","omega",1000,7,15.98692,7.51251992485415,1.998365,0.166394166666667,0.420237668635227,0.800078115219191,1.56219490711151,0.874
"q2_d08",200,8,"congeneric","omega",1000,2,9.684655,1.902623626071,1.210581875,0.210581875,0.583309241945178,0.833056780220513,1.44095624354541,0.895
"q3_d08",200,8,"congeneric","omega",1000,3,11.712025,3.43781412549558,1.464003125,0.2320015625,0.509022272981008,0.916044678251188,1.19169931014123,0.927
"q5_d08",200,8,"congeneric","omega",1000,5,16.04315,6.38942538928131,2.00539375,0.2513484375,0.460292461534139,0.922092987172565,1.17611709310805,0.932
"q7_d08",200,8,"congeneric","omega",1000,7,20.462825,9.22609425989716,2.557853125,0.2596421875,0.438397620710958,0.964355001672231,1.07529128356542,0.941
"q2_d04",200,8,"congeneric","omega",1000,2,10.753345,2.28782755287568,1.344168125,0.344168125,0.601937937414418,1.00456820835371,0.990925809713752,0.946
"q3_d04",200,8,"congeneric","omega",1000,3,13.706715,4.02458775145521,1.713339375,0.3566696875,0.525111235005392,0.98358594152979,1.03365444030322,0.939
"q5_d04",200,8,"congeneric","omega",1000,5,19.81983,7.30482064185,2.47747875,0.3693696875,0.472978643740695,1.02099895426763,0.959288869538414,0.954
"q7_d04",200,8,"congeneric","omega",1000,7,25.95187,10.4733706430179,3.24398375,0.373997291666667,0.450944299247729,1.04398025265674,0.917519772934249,0.952
