"rho","n","p_exp","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.25,50,0.5,"lipsey_cooper","own",1000,1000,1000,1000,0,-0.00395801543838233,0.00431311192932104,0.136392574998977,0.00305135675322654,0.139507417483618,1.02283733175845,0.022882782290288,0.136381807681769,0.957,0.00641490451994416,0.546810929630538,"01b_smd_to_cor_z",1000
0.5,50,0.5,"lipsey_cooper","own",1000,1000,1000,1000,0,-0.00163527248289859,0.00434563483792894,0.137421039672321,0.00307436542966283,0.135407182779877,0.985345352522099,0.0220440166607401,0.137362046135643,0.949,0.00695693898205238,0.530634515088983,"01b_smd_to_cor_z",1000
0.75,50,0.5,"lipsey_cooper","own",1000,1000,1000,1000,0,-0.00421640006118824,0.00395617186373836,0.125105139044865,0.00279883572027846,0.128280843120394,1.02538428157127,0.0229397623165948,0.12511363854151,0.958,0.00634318531969546,0.50264846987381,"01b_smd_to_cor_z",1000
0,100,0.5,"lipsey_cooper","own",1000,1000,1000,1000,0,-0.00284749484980308,0.00318477948404068,0.100711570149444,0.00225310600453038,0.0997512545411143,0.990464694305679,0.0221585459019655,0.100701468551974,0.953,0.00669260786241059,0.391015321924988,"01b_smd_to_cor_z",1000
0.1,100,0.5,"lipsey_cooper","own",1000,1000,1000,1000,0,0.0027913363590151,0.00316253155060775,0.100008028720645,0.00223736646819597,0.0995914876895723,0.995834924091578,0.0222786879765887,0.0999969787616106,0.946,0.00714730718522718,0.390385366955051,"01b_smd_to_cor_z",1000
0.25,100,0.5,"lipsey_cooper","own",1000,1000,1000,1000,0,0.000312897834609079,0.00317872963033442,0.100520256977218,0.00224882597139766,0.0987838349073862,0.982725650311205,0.0219854090273502,0.100470471511575,0.952,0.00675988165576884,0.387206799346558,"01b_smd_to_cor_z",1000
0.5,100,0.5,"lipsey_cooper","own",1000,1000,1000,1000,0,-0.000782130203982955,0.00304029021711592,0.0961424183401415,0.00215088554106353,0.0958458361724008,0.996915178826775,0.0223028552934787,0.096097518008232,0.952,0.00675988165576884,0.37565353400666,"01b_smd_to_cor_z",1000
0.75,100,0.5,"lipsey_cooper","own",1000,1000,1000,1000,0,0.000629340997558257,0.00267516054141474,0.0845960041747977,0.00189257068162755,0.0906009659336918,1.07098398816197,0.0239599129564058,0.084556037682186,0.965,0.00581162627841812,0.355081480179033,"01b_smd_to_cor_z",1000
0,300,0.5,"lipsey_cooper","own",1000,1000,1000,1000,0,0.00167207981412684,0.00185682098351987,0.0587178351511676,0.0013136276870255,0.0576855788197608,0.982420054677607,0.021978572282019,0.0587122834812245,0.943,0.00733150734842434,0.226123157573682,"01b_smd_to_cor_z",1000
0.1,300,0.5,"lipsey_cooper","own",1000,1000,1000,1000,0,-0.000889572295091024,0.00178689735856254,0.0565066559799621,0.00126415947736158,0.0576003747308998,1.01935557381639,0.0228048888594346,0.0564854008283197,0.963,0.00596917079668525,0.225788642451101,"01b_smd_to_cor_z",1000
0.25,300,0.5,"lipsey_cooper","own",1000,1000,1000,1000,0,-0.00277290503391634,0.00182078741404443,0.0575783536334845,0.00128813535634559,0.0571322806478099,0.99225276588292,0.0221985484041729,0.057616321842535,0.945,0.00720936890441875,0.223951018906786,"01b_smd_to_cor_z",1000
0.5,300,0.5,"lipsey_cooper","own",1000,1000,1000,1000,0,0.00159389682885354,0.00172782946373686,0.0546387651375577,0.00122237126904963,0.0553545785878973,1.01310083506714,0.02266495866659,0.0546346938144844,0.95,0.00689202437604511,0.21697525688074,"01b_smd_to_cor_z",1000
0.75,300,0.5,"lipsey_cooper","own",1000,1000,1000,1000,0,-0.00185120116805922,0.00158900613829635,0.0502487861300498,0.00112415923594458,0.0523360359759822,1.04153831379191,0.0233011582012948,0.050257760722107,0.962,0.00604615580348373,0.205139476392173,"01b_smd_to_cor_z",1000
0,25,0.7,"lipsey_cooper","own",1000,997,997,997,0.003,-0.00353974818157293,0.00650567297263076,0.205418620101338,0.00460251423586438,0.198046244465323,0.964110480187345,0.0216014118282912,0.205346087181373,0.932798395185557,0.00792932352976759,0.77625543459429,"01b_smd_to_cor_z",1000
0.1,25,0.7,"lipsey_cooper","own",1000,999,999,999,0.001,-0.00218986529174661,0.00652807314448458,0.206332554970758,0.00461835685720598,0.197799468408089,0.958644012507485,0.0214573999212623,0.206240885887782,0.933933933933934,0.0078589505714634,0.77526993139792,"01b_smd_to_cor_z",1000
0.25,25,0.7,"lipsey_cooper","own",1000,998,998,998,0.002,0.00500013190237787,0.00657561268485606,0.207731087747784,0.00465199156113738,0.196354220852082,0.945232718804634,0.0211678217202086,0.207687186542014,0.932865731462926,0.00792166422244546,0.769518082829488,"01b_smd_to_cor_z",1000
0.5,25,0.7,"lipsey_cooper","own",1000,998,998,998,0.002,-0.0014472362533133,0.00638707151747468,0.201774857710761,0.00451860597995722,0.191705282934334,0.950094997510239,0.0212767090309699,0.201678935475179,0.925851703406814,0.00829384726833912,0.751062300993409,"01b_smd_to_cor_z",1000
0.75,25,0.7,"lipsey_cooper","own",1000,998,998,998,0.002,-0.00703502083090252,0.00617638572676291,0.195119053822196,0.0043695539345562,0.183279529961372,0.93932153918903,0.021035445011521,0.19514812051853,0.932865731462926,0.00792166422244546,0.717817664566882,"01b_smd_to_cor_z",1000
0,50,0.7,"lipsey_cooper","own",1000,1000,1000,1000,0,0.00310253108644193,0.00455471896878073,0.144032860433205,0.00322228421431806,0.140713263359085,0.976952501921191,0.0218562529106966,0.143994253770172,0.941,0.00745110730026082,0.551573995918391,"01b_smd_to_cor_z",1000
0.1,50,0.7,"lipsey_cooper","own",1000,1000,1000,1000,0,-0.00597189356810878,0.00453616387994883,0.143446097004249,0.00320915722004067,0.140560825774399,0.979886024854589,0.0219218813000252,0.143498674125566,0.936,0.0077397674383666,0.550969202332828,"01b_smd_to_cor_z",1000
0.25,50,0.7,"lipsey_cooper","own",1000,1000,1000,1000,0,-0.00195171478729208,0.00451693377754186,0.142837987771806,0.00319555268025447,0.139561340529518,0.977060393433138,0.0218586666454149,0.14277989091801,0.936,0.0077397674383666,0.547017384460281,"01b_smd_to_cor_z",1000
0.5,50,0.7,"lipsey_cooper","own",1000,1000,1000,1000,0,0.00171826014223645,0.0044509824584469,0.14075242394148,0.00314889472047918,0.135848479059691,0.965159073325606,0.0215924118769079,0.140692522965768,0.935,0.0077958322198467,0.532364452981759,"01b_smd_to_cor_z",1000
0.75,50,0.7,"lipsey_cooper","own",1000,1000,1000,1000,0,-0.00328887624995896,0.0040835860050058,0.129134327970061,0.00288897620510333,0.129538921881333,1.00313312438012,0.0224419623537826,0.129111640422568,0.952,0.00675988165576884,0.507574854264589,"01b_smd_to_cor_z",1000
0,100,0.7,"lipsey_cooper","own",1000,1000,1000,1000,0,-0.000650815767505505,0.00309294135312157,0.0978073934518728,0.00218813414533083,0.0997648528989003,1.02001340980414,0.0228196058796518,0.0977606438644859,0.95,0.00689202437604511,0.391069196503792,"01b_smd_to_cor_z",1000
0.1,100,0.7,"lipsey_cooper","own",1000,1000,1000,1000,0,-0.0003103187057671,0.00337550289534641,0.106742773977876,0.00238803530351979,0.0995842307917225,0.932936507836703,0.0208715328788276,0.106689840539738,0.925,0.00832916562447884,0.390357229049822,"01b_smd_to_cor_z",1000
0.25,100,0.7,"lipsey_cooper","own",1000,1000,1000,1000,0,2.12623742093759e-05,0.0030689346143226,0.0970482337138983,0.00217115032349696,0.0988950649402956,1.01903003440374,0.0227976059345008,0.0969996997903035,0.952,0.00675988165576884,0.387644909453556,"01b_smd_to_cor_z",1000
0.5,100,0.7,"lipsey_cooper","own",1000,1000,1000,1000,0,-0.00176170194310873,0.00306238600949935,0.0968411486465199,0.00216651744359978,0.0962455400029602,0.993849632600561,0.0222342732964033,0.0968087467992565,0.95,0.00689202437604511,0.37722363566332,"01b_smd_to_cor_z",1000
0.75,100,0.7,"lipsey_cooper","own",1000,1000,1000,1000,0,-0.00456235973549694,0.00288550662103358,0.0912477312596244,0.00204138224531463,0.0916351686289573,1.00424599454676,0.0224668593388163,0.0913161400735089,0.941,0.00745110730026082,0.359127593916063,"01b_smd_to_cor_z",1000
0,300,0.7,"lipsey_cooper","own",1000,1000,1000,1000,0,0.00210071811566723,0.00179337946538005,0.0567116381957604,0.00126874531253972,0.0576888636585905,1.01723148006159,0.0227573689132552,0.0567221888994199,0.955,0.00655553201502365,0.226136047820357,"01b_smd_to_cor_z",1000
0.1,300,0.7,"lipsey_cooper","own",1000,1000,1000,1000,0,0.00183153943793319,0.00191903063109419,0.06068507693888,0.00135763856162194,0.0575962664250893,0.949100987102618,0.021233162483451,0.0606823732333155,0.94,0.00750999334220744,0.225772434060911,"01b_smd_to_cor_z",1000
