"delta","n","r_cov","r_cov_guess","p_exp","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0,300,0.5,0.5,0.15,"ancova_md_sd","own",1000,1000,0,-0.0151079418450974,0.00454678946922372,0.14378210764015,0.00321667440580405,0.140152219351215,0.974754242036711,0.0218070737296165,0.144502149083538,0.937,0.00768316341099159,0.551634083028242,"07a_ancova_to_smd_d",1000
0.3,300,0.5,0.5,0.15,"ancova_md_sd","own",1000,1000,0,0.00123918588600449,0.00454169720783926,0.143621076195992,0.00321307183150982,0.140689121327725,0.979585483231821,0.0219151576223598,0.143554596219791,0.931,0.00801492358042171,0.553743478062742,"07a_ancova_to_smd_d",1000
0.8,300,0.5,0.5,0.15,"ancova_md_sd","own",1000,1000,0,0.00655730939383725,0.00464898907111568,0.14701394281956,0.00328897659747454,0.143972405122032,0.979311229675261,0.0219090220578548,0.147086656738319,0.936,0.0077397674383666,0.566644796871783,"07a_ancova_to_smd_d",1000
0,100,0.7,0.5,0.15,"ancova_md_sd","own",1000,1000,0,-0.00303482197158794,0.0078138719149204,0.247096325959699,0.00552800651296634,0.243163634515996,0.984084379124504,0.0220158063296981,0.246991392264747,0.956,0.00648567652600714,0.965219355514601,"07a_ancova_to_smd_d",1000
0.3,100,0.7,0.5,0.15,"ancova_md_sd","own",1000,1000,0,-0.00347194346338167,0.00817701850381215,0.258580029413886,0.00578491841661834,0.244554098677235,0.94575787322616,0.0211583707794025,0.258474026492968,0.937,0.00768316341099159,0.970708735699265,"07a_ancova_to_smd_d",1000
0.8,100,0.7,0.5,0.15,"ancova_md_sd","own",1000,1000,0,0.00875229946231816,0.00823385554441181,0.26037737445147,0.00582512838346112,0.252889990824083,0.971244108121296,0.0217285454752184,0.26039428468189,0.949,0.00695693898205238,1.00362273891481,"07a_ancova_to_smd_d",1000
0,300,0.7,0.5,0.15,"ancova_md_sd","own",1000,1000,0,-0.00318864575621783,0.00419021587170869,0.132506260423874,0.00296441263457498,0.14013241595575,1.05755317150662,0.0236594404922488,0.132478370325977,0.969,0.00548078461536303,0.551556276377061,"07a_ancova_to_smd_d",1000
0.3,300,0.7,0.5,0.15,"ancova_md_sd","own",1000,1000,0,-0.00389265235803239,0.00452816706293982,0.143193215446448,0.00320349978708167,0.140917975245097,0.984110698301886,0.0220163951388738,0.143174527746117,0.943,0.00733150734842434,0.554642769620614,"07a_ancova_to_smd_d",1000
0.8,300,0.7,0.5,0.15,"ancova_md_sd","own",1000,1000,0,0.00346899796265481,0.00449984404028968,0.142297562828499,0.00318346236448483,0.145675744831867,1.02374026607497,0.0229029826180878,0.142268695563741,0.96,0.00619677335393187,0.573340777680068,"07a_ancova_to_smd_d",1000
0,100,0,0.7,0.15,"ancova_md_sd","own",1000,1000,0,-0.00567364703680947,0.00643139643656557,0.203378612750378,0.00454995958161482,0.200516254796648,0.985925963821754,0.0220570060203898,0.203356060973954,0.948,0.00702111102319284,0.795932809427096,"07a_ancova_to_smd_d",1000
