"or_true","br","n","p_exp","rr","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.5,0.5,50,0.25,0.666666666666667,"balanced_4_over_sqrtN","population",1000,1000,0,-0.20318309495443,5.85950364021371e-05,0.00185293774611231,4.14536796079302e-05,NA,NA,NA,0.203191535306403,NA,NA,NA,"06_or_se_imputation",1000
0.5,0.5,100,0.25,0.666666666666667,"balanced_4_over_sqrtN","population",1000,1000,0,-0.188647115570734,0,0,0,NA,NA,NA,0.188647115570734,NA,NA,NA,"06_or_se_imputation",1000
0.5,0.5,300,0.25,0.666666666666667,"balanced_4_over_sqrtN","population",1000,1000,0,-0.188647115570734,0,0,0,NA,NA,NA,0.188647115570734,NA,NA,NA,"06_or_se_imputation",1000
0.5,0.5,1000,0.25,0.666666666666667,"balanced_4_over_sqrtN","population",1000,1000,0,-0.188647115570734,0,0,0,NA,NA,NA,0.188647115570734,NA,NA,NA,"06_or_se_imputation",1000
0.5,0.5,50,0.5,0.666666666666667,"balanced_4_over_sqrtN","population",1000,1000,0,-0.0303123109082175,0,0,0,NA,NA,NA,0.0303123109082175,NA,NA,NA,"06_or_se_imputation",1000
0.5,0.5,100,0.5,0.666666666666667,"balanced_4_over_sqrtN","population",1000,1000,0,-0.0303123109082174,0,0,0,NA,NA,NA,0.0303123109082174,NA,NA,NA,"06_or_se_imputation",1000
0.5,0.5,300,0.5,0.666666666666667,"balanced_4_over_sqrtN","population",1000,1000,0,-0.0303123109082177,0,0,0,NA,NA,NA,0.0303123109082177,NA,NA,NA,"06_or_se_imputation",1000
0.5,0.5,1000,0.5,0.666666666666667,"balanced_4_over_sqrtN","population",1000,1000,0,-0.0303123109082177,0,0,0,NA,NA,NA,0.0303123109082177,NA,NA,NA,"06_or_se_imputation",1000
1,0.1,50,0.25,1,"balanced_4_over_sqrtN","population",1000,1000,0,-0.673906723005304,0.000277967322111188,0.00879009852969037,0.000196650928470986,NA,NA,NA,0.67396399004552,NA,NA,NA,"06_or_se_imputation",1000
1,0.3,50,0.25,1,"balanced_4_over_sqrtN","population",1000,1000,0,-0.245061048318893,7.02802016515847e-05,0.00222245511634935,4.97204736259752e-05,NA,NA,NA,0.245071115741109,NA,NA,NA,"06_or_se_imputation",1000
1,0.5,50,0.25,1,"balanced_4_over_sqrtN","population",1000,1000,0,-0.157629420111008,0,0,0,NA,NA,NA,0.157629420111008,NA,NA,NA,"06_or_se_imputation",1000
1,0.1,100,0.25,1,"balanced_4_over_sqrtN","population",1000,1000,0,-0.655369653260895,8.04539007312301e-05,0.00254417572955773,5.69179648807077e-05,NA,NA,NA,0.655374586608772,NA,NA,NA,"06_or_se_imputation",1000
1,0.3,100,0.25,1,"balanced_4_over_sqrtN","population",1000,1000,0,-0.231017729798279,0,0,0,NA,NA,NA,0.231017729798279,NA,NA,NA,"06_or_se_imputation",1000
1,0.5,100,0.25,1,"balanced_4_over_sqrtN","population",1000,1000,0,-0.143841036225891,0,0,0,NA,NA,NA,0.143841036225891,NA,NA,NA,"06_or_se_imputation",1000
1,0.02,300,0.25,1,"balanced_4_over_sqrtN","population",1000,1000,0,-1.41755090082327,4.38235169552606e-05,0.00138582128657631,3.10034115976727e-05,NA,NA,NA,1.41755157754665,NA,NA,NA,"06_or_se_imputation",1000
1,0.1,300,0.25,1,"balanced_4_over_sqrtN","population",1000,1000,0,-0.654666659991881,0,0,0,NA,NA,NA,0.654666659991881,NA,NA,NA,"06_or_se_imputation",1000
1,0.3,300,0.25,1,"balanced_4_over_sqrtN","population",1000,1000,0,-0.23101772979828,0,0,0,NA,NA,NA,0.23101772979828,NA,NA,NA,"06_or_se_imputation",1000
1,0.5,300,0.25,1,"balanced_4_over_sqrtN","population",1000,1000,0,-0.143841036225891,0,0,0,NA,NA,NA,0.143841036225891,NA,NA,NA,"06_or_se_imputation",1000
1,0.02,1000,0.25,1,"balanced_4_over_sqrtN","population",1000,1000,0,-1.41681270604677,2.44091210005356e-06,7.71884180443405e-05,1.72684913876169e-06,NA,NA,NA,1.41681270814729,NA,NA,NA,"06_or_se_imputation",1000
1,0.1,1000,0.25,1,"balanced_4_over_sqrtN","population",1000,1000,0,-0.654666659991881,0,0,0,NA,NA,NA,0.654666659991881,NA,NA,NA,"06_or_se_imputation",1000
1,0.3,1000,0.25,1,"balanced_4_over_sqrtN","population",1000,1000,0,-0.231017729798279,0,0,0,NA,NA,NA,0.231017729798279,NA,NA,NA,"06_or_se_imputation",1000
1,0.5,1000,0.25,1,"balanced_4_over_sqrtN","population",1000,1000,0,-0.143841036225891,0,0,0,NA,NA,NA,0.143841036225891,NA,NA,NA,"06_or_se_imputation",1000
1,0.1,50,0.5,1,"balanced_4_over_sqrtN","population",1000,1000,0,-0.5139240601051,0.000226301449483821,0.0071562801816641,0.000160099359224399,NA,NA,NA,0.513973832688594,NA,NA,NA,"06_or_se_imputation",1000
1,0.3,50,0.5,1,"balanced_4_over_sqrtN","population",1000,1000,0,-0.0872159142855422,2.77193482617067e-05,0.000876562757624222,1.961034675182e-05,NA,NA,NA,0.087220314712622,NA,NA,NA,"06_or_se_imputation",1000
1,0.5,50,0.5,1,"balanced_4_over_sqrtN","population",1000,1000,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,"06_or_se_imputation",1000
1,0.1,100,0.5,1,"balanced_4_over_sqrtN","population",1000,1000,0,-0.510875130334231,2.20956415807997e-05,0.000698725537580504,1.56317958493277e-05,NA,NA,NA,0.510875607680752,NA,NA,NA,"06_or_se_imputation",1000
1,0.3,100,0.5,1,"balanced_4_over_sqrtN","population",1000,1000,0,-0.0871766935723888,0,0,0,NA,NA,NA,0.0871766935723888,NA,NA,NA,"06_or_se_imputation",1000
1,0.5,100,0.5,1,"balanced_4_over_sqrtN","population",1000,1000,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,"06_or_se_imputation",1000
1,0.02,300,0.5,1,"balanced_4_over_sqrtN","population",1000,1000,0,-1.27328461386338,3.09650788246595e-05,0.000979201770125736,2.1906573243206e-05,NA,NA,NA,1.27328499000754,NA,NA,NA,"06_or_se_imputation",1000
