d	n	r_cov	p	r_cov_guess	method	bias_ci	bias_es	bias_var
d=0	n=50	r_cov=0.1	0.3	guessed r_cov=0.1	Comparison (from t-test)	1	7.19725544108813e-05	0.925859514091941
d=0	n=50	r_cov=0.1	0.3	guessed r_cov=0.3	SD = pooled SDs	1	-0.00142662280223314	0.986300567145444
d=0	n=50	r_cov=0.1	0.3	guessed r_cov=0.3	SD = max(SDs)	1	-0.00168826873464214	1.00349998874884
d=0	n=50	r_cov=0.1	0.3	guessed r_cov=0.3	SD = min(SDs)	1	-0.000897036128035706	0.957874247108182
d=0	n=50	r_cov=0.1	0.3	guessed r_cov=0.3	SD = sigma(model)	1	-0.000720359099436691	0.944693363279984
d=0	n=50	r_cov=0.1	0.3	guessed r_cov=0.3	Comparison (from t-test)	1	-0.00124680377625135	0.984704539367118
d=0	n=50	r_cov=0.1	0.3	guessed r_cov=0.5	SD = pooled SDs	1	-0.00361355982890538	0.985766674211546
d=0	n=50	r_cov=0.1	0.3	guessed r_cov=0.5	SD = max(SDs)	1	-0.0038001760438587	1.00299151516749
d=0	n=50	r_cov=0.1	0.3	guessed r_cov=0.5	SD = min(SDs)	1	-0.00330130892697646	0.958138683920835
d=0	n=50	r_cov=0.1	0.3	guessed r_cov=0.5	SD = sigma(model)	1	-0.00312077229419305	0.945169216206926
d=0	n=50	r_cov=0.1	0.3	guessed r_cov=0.5	Comparison (from t-test)	1	-0.00358731995365253	0.9844739169596
d=0	n=50	r_cov=0.1	0.5	guessed r_cov=0.1	SD = pooled SDs	1	-5.56323136362131e-05	0.968290626254383
d=0	n=50	r_cov=0.1	0.5	guessed r_cov=0.1	SD = max(SDs)	1	-0.000364818126777558	0.987686370640148
d=0	n=50	r_cov=0.1	0.5	guessed r_cov=0.1	SD = min(SDs)	1	0.000277673275019927	0.947866309187902
d=0	n=50	r_cov=0.1	0.5	guessed r_cov=0.1	SD = sigma(model)	1	0.000480931984041808	0.935364465038665
d=0	n=50	r_cov=0.1	0.5	guessed r_cov=0.1	Comparison (from t-test)	1	-0.000187373883857871	0.977793824389955
d=0	n=50	r_cov=0.1	0.5	guessed r_cov=0.3	SD = pooled SDs	1	-0.00153885261087884	0.948690182316428
d=0	n=50	r_cov=0.1	0.5	guessed r_cov=0.3	SD = max(SDs)	1	-0.00190032962613799	0.966872746816543
d=0	n=50	r_cov=0.1	0.5	guessed r_cov=0.3	SD = min(SDs)	1	-0.00115282464234521	0.929578012787512
d=0	n=50	r_cov=0.1	0.5	guessed r_cov=0.3	SD = sigma(model)	1	-0.000897100619206043	0.917508881219768
d=0	n=50	r_cov=0.1	0.5	guessed r_cov=0.3	Comparison (from t-test)	1	-0.00177213788044467	0.958117356659763
d=0	n=50	r_cov=0.1	0.5	guessed r_cov=0.5	SD = pooled SDs	1	-0.00384653995775862	0.942599631092452
d=0	n=50	r_cov=0.1	0.5	guessed r_cov=0.5	SD = max(SDs)	1	-0.00411325352754672	0.961800437555366
d=0	n=50	r_cov=0.1	0.5	guessed r_cov=0.5	SD = min(SDs)	1	-0.00355765407367825	0.922359859910121
d=0	n=50	r_cov=0.1	0.5	guessed r_cov=0.5	SD = sigma(model)	1	-0.00334538825268017	0.909748707898172
d=0	n=50	r_cov=0.1	0.5	guessed r_cov=0.5	Comparison (from t-test)	1	-0.00395439331062297	0.95247661740192
d=0	n=50	r_cov=0.1	0.7	guessed r_cov=0.1	SD = pooled SDs	1	0.000208197371561023	0.954574614986658
d=0	n=50	r_cov=0.1	0.7	guessed r_cov=0.1	SD = max(SDs)	1	-9.79840402180098e-06	0.972922689360163
d=0	n=50	r_cov=0.1	0.7	guessed r_cov=0.1	SD = min(SDs)	1	0.000469207493987302	0.937563850883295
d=0	n=50	r_cov=0.1	0.7	guessed r_cov=0.1	SD = sigma(model)	1	0.000580979628941381	0.92589081517184
d=0	n=50	r_cov=0.1	0.7	guessed r_cov=0.1	Comparison (from t-test)	1	0.000181404236822163	0.964662361330624
d=0	n=50	r_cov=0.1	0.7	guessed r_cov=0.3	SD = pooled SDs	1	-0.00142286449017856	0.962277258778031
d=0	n=50	r_cov=0.1	0.7	guessed r_cov=0.3	SD = max(SDs)	1	-0.00174717980887766	0.980687705994504
d=0	n=50	r_cov=0.1	0.7	guessed r_cov=0.3	SD = min(SDs)	1	-0.00111155297497498	0.945649174296595
d=0	n=50	r_cov=0.1	0.7	guessed r_cov=0.3	SD = sigma(model)	1	-0.000857104726632773	0.934050608045738
d=0	n=50	r_cov=0.1	0.7	guessed r_cov=0.3	Comparison (from t-test)	1	-0.00163162837081475	0.972634144756891
d=0	n=50	r_cov=0.1	0.7	guessed r_cov=0.5	SD = pooled SDs	1	-0.00375385182095298	0.967935655594105
d=0	n=50	r_cov=0.1	0.7	guessed r_cov=0.5	SD = max(SDs)	1	-0.00404089690647431	0.987644001431506
d=0	n=50	r_cov=0.1	0.7	guessed r_cov=0.5	SD = min(SDs)	1	-0.00351186259816301	0.950201605064956
d=0	n=50	r_cov=0.1	0.7	guessed r_cov=0.5	SD = sigma(model)	1	-0.00337947995605952	0.938684317449635
d=0	n=50	r_cov=0.1	0.7	guessed r_cov=0.5	Comparison (from t-test)	1	-0.00394752944960395	0.978741336566211
d=0	n=50	r_cov=0.3	0.3	guessed r_cov=0.1	SD = pooled SDs	1	0.0034808659560178	0.957371029267548
d=0	n=50	r_cov=0.3	0.3	guessed r_cov=0.1	SD = max(SDs)	1	0.00264388356641705	0.973989438370632
d=0	n=50	r_cov=0.3	0.3	guessed r_cov=0.1	SD = min(SDs)	1	0.00481867801053461	0.931027105386536
d=0	n=50	r_cov=0.3	0.3	guessed r_cov=0.1	SD = sigma(model)	1	0.00547319764550189	0.917727768553634
d=0	n=50	r_cov=0.3	0.3	guessed r_cov=0.1	Comparison (from t-test)	1	0.00354282557891782	0.956559993108759
d=0	n=50	r_cov=0.3	0.3	guessed r_cov=0.3	SD = pooled SDs	1	-0.000329423263717769	0.976080402750367
d=0	n=50	r_cov=0.3	0.3	guessed r_cov=0.3	SD = max(SDs)	1	-0.00118233613217226	0.992919443820707
d=0	n=50	r_cov=0.3	0.3	guessed r_cov=0.3	SD = min(SDs)	1	0.00107857877143896	0.949194928548621
d=0	n=50	r_cov=0.3	0.3	guessed r_cov=0.3	SD = sigma(model)	1	0.00174659121994983	0.936090295396589
d=0	n=50	r_cov=0.3	0.3	guessed r_cov=0.3	Comparison (from t-test)	1	-0.000246014230314927	0.975596389361696
d=0	n=50	r_cov=0.3	0.3	guessed r_cov=0.5	SD = pooled SDs	1	-0.00882590515491267	0.972735688207511
d=0	n=50	r_cov=0.3	0.3	guessed r_cov=0.5	SD = max(SDs)	1	-0.00955283010164469	0.989014779081502
d=0	n=50	r_cov=0.3	0.3	guessed r_cov=0.5	SD = min(SDs)	1	-0.00766596513854011	0.946180293035615
d=0	n=50	r_cov=0.3	0.3	guessed r_cov=0.5	SD = sigma(model)	1	-0.00710754442216566	0.933428965725906
d=0	n=50	r_cov=0.3	0.3	guessed r_cov=0.5	Comparison (from t-test)	1	-0.00869992704395613	0.970897623921402
d=0	n=50	r_cov=0.3	0.5	guessed r_cov=0.1	SD = pooled SDs	1	0.00397222702687069	0.959746862019992
d=0	n=50	r_cov=0.3	0.5	guessed r_cov=0.1	SD = max(SDs)	1	0.00304127141746418	0.978862385534254
d=0	n=50	r_cov=0.3	0.5	guessed r_cov=0.1	SD = min(SDs)	1	0.00497126670021061	0.939606728352054
d=0	n=50	r_cov=0.3	0.5	guessed r_cov=0.1	SD = sigma(model)	1	0.00559197792470622	0.927264317426389
d=0	n=50	r_cov=0.3	0.5	guessed r_cov=0.1	Comparison (from t-test)	1	0.0034939685559818	0.969589574462524
