"response","n","k","shape","method","n_valid","emp_sd","robust_sd","sd_over_robust","ex_kurtosis","sd_mcse_rel","se_ratio_readable"
"bin_10",1000,3,"congeneric","omega",1000,0.0933367699068931,0.0913921792859189,1.02127742916482,-0.173566654809064,0.0213683957352379,TRUE
"cont_kurt8",1000,3,"congeneric","omega",1000,0.0874331070124609,0.0890609390714378,0.981722267068494,0.14681408420122,0.0231668625638066,TRUE
"cont_normal",1000,3,"congeneric","omega",1000,0.0530608276551981,0.0523316812188426,1.01393317430996,0.174270098226323,0.0233145346202016,TRUE
"lik5_sev",1000,3,"congeneric","omega",1000,0.0689638673590224,0.0679362878469979,1.01512563527667,-0.0951973161643362,0.0218220226138394,TRUE
"lik5_skew",1000,3,"congeneric","omega",1000,0.0585304183698486,0.0582452130275074,1.00489663145719,-0.128509458677299,0.0216303637355148,TRUE
"lik5_sym",1000,3,"congeneric","omega",1000,0.0532670574456914,0.0520681222101166,1.02302628143063,0.0805187756197645,0.022806352051675,TRUE
"lik7_skew",1000,3,"congeneric","omega",1000,0.0538240391782524,0.0531284592487962,1.01309241674408,-0.03915647628591,0.0221407064234302,TRUE
"bin_10",200,8,"congeneric","omega",1000,0.175035258957785,0.17061097366111,1.02593200895426,0.211745262216156,0.0235145979245668,TRUE
"cont_kurt8",200,8,"congeneric","omega",1000,0.217433704532891,0.221790257499467,0.980357329417025,0.0769237325748868,0.0227866393560727,TRUE
"cont_normal",200,8,"congeneric","omega",1000,0.102081716142725,0.0974797345083973,1.04720962421098,0.23616388012423,0.0236440472430389,TRUE
"lik5_sev",200,8,"congeneric","omega",1000,0.139808978504997,0.142799927153582,0.979054970767822,0.0802130037913691,0.022804676076363,TRUE
"lik5_skew",200,8,"congeneric","omega",1000,0.114230697118635,0.119427675801834,0.956484301914891,-0.211702515423181,0.0211441332559224,TRUE
"lik5_sym",200,8,"congeneric","omega",1000,0.103064387077797,0.110864802575974,0.929640288739688,-0.264182109285018,0.0208315739366651,TRUE
"lik7_skew",200,8,"congeneric","omega",1000,0.10900660825744,0.107316129486519,1.01575232706406,0.149194043277405,0.0231797004040033,TRUE
"bin_10",1000,8,"congeneric","omega",1000,0.0764329069407516,0.076131770829825,1.00395545916829,-0.0554766844023513,0.0220483747450784,TRUE
"cont_kurt8",1000,8,"congeneric","omega",1000,0.0926416599432494,0.100192876263242,0.924633201464815,-0.275185127718178,0.0207654452894816,TRUE
"cont_normal",1000,8,"congeneric","omega",1000,0.0465574495744881,0.0469425679963083,0.991795966044071,-0.121643427565544,0.0216700056093351,TRUE
"lik5_sev",1000,8,"congeneric","omega",1000,0.059600507155179,0.0596132038128575,0.999787016015472,-0.00343966168461352,0.022341443207162,TRUE
"lik5_skew",1000,8,"congeneric","omega",1000,0.0490757947708545,0.0498333510951962,0.984798206267634,-0.0875478696536693,0.0218657959513616,TRUE
"lik5_sym",1000,8,"congeneric","omega",1000,0.0461198873741568,0.0466101521988929,0.989481587130547,0.0375995632197093,0.0225698890295218,TRUE
"lik7_skew",1000,8,"congeneric","omega",1000,0.0494668029676225,0.0484004790692899,1.02203126743448,-0.00689301314240076,0.0223221134016114,TRUE
"bin_10",200,20,"congeneric","omega",1000,0.178027755604163,0.170893956890032,1.0417440080618,-0.104927555783445,0.0217662148995671,TRUE
"cont_kurt8",200,20,"congeneric","omega",1000,0.220048376357751,0.217154219880202,1.01332765478445,0.00528164902654105,0.0223901856235413,TRUE
"cont_normal",200,20,"congeneric","omega",1000,0.102193615414316,0.0998175995243172,1.02380357673718,0.087550939130483,0.0228448623279419,TRUE
"lik5_sev",200,20,"congeneric","omega",1000,0.136289858985176,0.133586022617667,1.02024041373885,-0.00289051132888041,0.0223445154829497,TRUE
"lik5_skew",200,20,"congeneric","omega",1000,0.104964516667338,0.107822709342951,0.973491737565952,0.0164468409324341,0.0224524321674314,TRUE
"lik5_sym",200,20,"congeneric","omega",1000,0.0962001950833557,0.0997266589869177,0.964638704039763,-0.164328598283895,0.0214223679930354,TRUE
"lik7_skew",200,20,"congeneric","omega",1000,0.110153134633827,0.113628536103236,0.969414360260249,0.0713469887335059,0.0227560266123807,TRUE
"bin_10",1000,20,"congeneric","omega",1000,0.0766251404593695,0.0734950019010575,1.04258981532548,0.108852283522433,0.0229611208541876,TRUE
"cont_kurt8",1000,20,"congeneric","omega",1000,0.0981231759161286,0.0992854141546616,0.988293967966709,-0.277933171487878,0.020748896527961,TRUE
"cont_normal",1000,20,"congeneric","omega",1000,0.0464381405249177,0.0463388193189167,1.00214336937067,0.06467488814907,0.0227193468664323,TRUE
"lik5_sev",1000,20,"congeneric","omega",1000,0.0592193766447645,0.0625624633796549,0.946564016915332,-0.256047323987231,0.0208803297149061,TRUE
"lik5_skew",1000,20,"congeneric","omega",1000,0.0480472922087302,0.0476586957636095,1.00815373645658,0.171474507458389,0.0232995413445114,TRUE
"lik5_sym",1000,20,"congeneric","omega",1000,0.0452391223188578,0.0445649953140986,1.01512682768186,0.00472880039071377,0.0223870989656471,TRUE
"lik7_skew",1000,20,"congeneric","omega",1000,0.0468781985881143,0.0476523626568842,0.983753920569601,-0.0741188058580757,0.0219424314636159,TRUE
