"q","r_true","r_guess","delta","n","imb_std","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.5,0.2,0.2,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.0142817538843474,0.0197423237474663,0.624307093464245,0.0139669162030532,0.663326774459786,1.06250078111242,0.0237701277637744,0.624158278080838,0.966,0.00573096850453743,2.64572924831909,"08a_pre_post_to_smd_d",1000
0.7,0.2,0.2,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.0241893904449274,0.0150764150820474,0.476758106093842,0.0106659696592417,0.502484424655616,1.05396094630158,0.0235790757023137,0.477133230916227,0.961,0.00612200947402077,2.00731196989114,"08a_pre_post_to_smd_d",1000
1,0.2,0.2,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.0241352954467222,0.0121241280378519,0.383398592431203,0.00857734289569119,0.395265384087114,1.03095157856648,0.0230643131529116,0.38396614262699,0.964,0.00589101010014412,1.58444402045271,"08a_pre_post_to_smd_d",1000
1.4,0.2,0.2,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.0206130126358176,0.0107994292838487,0.34150793966883,0.00764017072041336,0.343223398508063,1.00502318874605,0.0224842466252474,0.341958976302592,0.959,0.00627048642451286,1.37815949100041,"08a_pre_post_to_smd_d",1000
0.5,0.5,0.2,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.033274225430719,0.0169752161545867,0.536803468221788,0.0120092966052314,0.654109557811006,1.21852707095542,0.027260727403798,0.537565790959078,0.993,0.00263647491928143,2.61302329811248,"08a_pre_post_to_smd_d",1000
0.7,0.5,0.2,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.0234667571640287,0.0117517991541106,0.371624519318296,0.00831393488021586,0.495147784024632,1.3323872841677,0.0298079931219774,0.372179213910438,0.995,0.00223047080231955,1.98162623603471,"08a_pre_post_to_smd_d",1000
1,0.5,0.2,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.0124490207507981,0.00933914617910987,0.29532973327246,0.00660707795901848,0.392763554495239,1.32991538015202,0.0297526920103763,0.295444427635861,0.993,0.00263647491928143,1.57579248597626,"08a_pre_post_to_smd_d",1000
1.4,0.5,0.2,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.00288928680002053,0.00855599845618243,0.270564427784208,0.0060530318010963,0.340241736732137,1.257525756503,0.0281332008688194,0.270444545980921,0.986,0.00371537346709587,1.36684134364042,"08a_pre_post_to_smd_d",1000
0.5,0.8,0.2,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.0114180400267961,0.0135028071575504,0.426996254238835,0.00955270405287003,0.64054726484787,1.50012385000827,0.0335605735168008,0.426935413114109,0.998,0.00141279864099595,2.56800210799709,"08a_pre_post_to_smd_d",1000
0.7,0.8,0.2,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.0279333599922259,0.00893933556804388,0.282686611635738,0.00632422770424202,0.48654569161723,1.72114869113143,0.0385053121992184,0.283922667777956,0.999,0.000999499874937461,1.95206009068103,"08a_pre_post_to_smd_d",1000
