"response","n","k","shape","n_valid","cor_paired","se_ratio_alpha","se_ratio_omega","delta_se_ratio","cov_centred_alpha","cov_centred_omega","delta_coverage","delta_cov_mcse"
"lik5_sym",1000,3,"congeneric",1000,0.847567011935857,1.01042550132735,1.02928738569275,0.0188618843654045,0.952,0.958,0.00600000000000001,0.00547722557505166
"lik7_skew",1000,3,"congeneric",1000,0.824310502776217,0.954996469450288,1.0186361175951,0.0636396481448086,0.936,0.953,0.0169999999999999,0.00818535277187245
"bin_10",200,8,"congeneric",1000,0.988052823900015,0.631810204360104,0.613836677877362,-0.0179735264827419,0.784,0.777,-0.00700000000000001,0.00685565460040104
"cont_kurt8",200,8,"congeneric",1000,0.996446677496693,0.519934440340869,0.494141706783079,-0.0257927335577899,0.686,0.665,-0.021,0.00574456264653803
"cont_normal",200,8,"congeneric",1000,0.98639780806867,1.06443523605944,1.05252013710104,-0.011915098958392,0.962,0.958,-0.004,0.00316227766016838
"lik5_sev",200,8,"congeneric",1000,0.989760403547216,0.783494783058366,0.768499012144705,-0.0149957709136611,0.889,0.882,-0.00700000000000001,0.005
"lik5_skew",200,8,"congeneric",1000,0.989003667863351,0.948019444964074,0.94057958657527,-0.00743985838880434,0.941,0.936,-0.00499999999999989,0.00360555127546399
"lik5_sym",200,8,"congeneric",1000,0.989418611552778,1.04463666645503,1.04248484773842,-0.00215181871660897,0.961,0.958,-0.003,0.00360555127546399
"lik7_skew",200,8,"congeneric",1000,0.989211705341739,0.979902406238428,0.98565640732811,0.00575400108968227,0.943,0.944,0.001,0.00387298334620742
"bin_10",1000,8,"congeneric",1000,0.991438934124154,0.639784507358382,0.626131168716314,-0.0136533386420676,0.783,0.772,-0.011,0.006557438524302
"cont_kurt8",1000,8,"congeneric",1000,0.996513068574665,0.539537483730266,0.516582122778396,-0.0229553609518697,0.699,0.68,-0.0189999999999999,0.00670820393249937
"cont_normal",1000,8,"congeneric",1000,0.987345809614684,1.04340680621947,1.0279133798906,-0.0154934263288704,0.959,0.961,0.002,0.00282842712474619
"lik5_sev",1000,8,"congeneric",1000,0.989103403393927,0.816787963491612,0.802963391344893,-0.0138245721467191,0.888,0.883,-0.005,0.00519615242270663
"lik5_skew",1000,8,"congeneric",1000,0.990106475897112,0.974078340199266,0.975165569394299,0.00108722919503301,0.945,0.944,-0.001,0.00360555127546399
"lik5_sym",1000,8,"congeneric",1000,0.989388876602665,1.04153178927861,1.03766570293089,-0.00386608634771868,0.954,0.958,0.004,0.00316227766016838
"lik7_skew",1000,8,"congeneric",1000,0.989286554013598,0.972834479915424,0.96745741548169,-0.00537706443373409,0.948,0.94,-0.00800000000000001,0.00374165738677394
"bin_10",200,20,"congeneric",1000,0.997325020183351,0.600288320106026,0.579205774955464,-0.0210825451505612,0.743,0.728,-0.015,0.00556776436283002
"cont_kurt8",200,20,"congeneric",1000,0.999186986247177,0.489675442822981,0.468600158997078,-0.0210752838259033,0.671,0.652,-0.019,0.00479583152331272
"cont_normal",200,20,"congeneric",1000,0.996484078016983,1.03775126843074,1.00901317298778,-0.0287380954429628,0.958,0.952,-0.00600000000000001,0.00316227766016838
"lik5_sev",200,20,"congeneric",1000,0.996983079862895,0.782363819821791,0.756583834748163,-0.0257799850736276,0.874,0.863,-0.011,0.00458257569495584
"lik5_skew",200,20,"congeneric",1000,0.997044164048768,1.00371543989976,0.982376782385328,-0.0213386575144274,0.958,0.956,-0.002,0.00244948974278318
"lik5_sym",200,20,"congeneric",1000,0.997129696954198,1.09478934998383,1.07187624784902,-0.0229131021348064,0.972,0.966,-0.00600000000000001,0.00244948974278318
"lik7_skew",200,20,"congeneric",1000,0.997068398519054,0.953723697092478,0.936103221129991,-0.0176204759624864,0.94,0.94,0,0.00316227766016838
"bin_10",1000,20,"congeneric",1000,0.998020890751244,0.615741580746929,0.599399865177011,-0.0163417155699183,0.777,0.764,-0.013,0.00412310562561766
"cont_kurt8",1000,20,"congeneric",1000,0.999302309250349,0.48779449600721,0.468075950780209,-0.0197185452270012,0.659,0.635,-0.024,0.00489897948556636
"cont_normal",1000,20,"congeneric",1000,0.996844550607646,1.01863846557843,0.989038284938887,-0.0296001806395418,0.957,0.949,-0.00800000000000001,0.00282842712474619
"lik5_sev",1000,20,"congeneric",1000,0.997281765583898,0.800127804403239,0.77557552042514,-0.0245522839780996,0.88,0.872,-0.00800000000000001,0.00447213595499958
"lik5_skew",1000,20,"congeneric",1000,0.997124679580858,0.971821179356827,0.955914407433979,-0.0159067719228484,0.939,0.934,-0.00499999999999989,0.00223606797749979
"lik5_sym",1000,20,"congeneric",1000,0.997144781181146,1.03612075112904,1.01525176675168,-0.0208689843773613,0.953,0.953,0,0.002
"lik7_skew",1000,20,"congeneric",1000,0.997159338031407,0.997947891051926,0.979753920667094,-0.0181939703848318,0.954,0.947,-0.00700000000000001,0.003
