"K","tau2","response_mix","confound","M_valid","cov_reml_hk","cov_reml_z","cov_fe","cov_oracle_hk","cov_mcse","bias_mu","tau2_est","tau2_true","i2_rep","i2_true","i2_inflation","pi_coverage"
30,0,"lik5_skew","sb_tied",2000,0.947,0.9385,0.0995,0.947,0.0050095408971282,-0.0102486438179713,0.37007637553838,0,98.8641022688078,0,98.8641022688078,1
10,0.01,"lik5_skew","sb_tied",2000,0.949,0.9255,0.1255,0.949,0.00491929873051028,-0.00687037412349113,0.382459946376336,0.01,98.686642658518,67.7568342456923,30.9298084128257,0.9985
30,0.01,"lik5_skew","sb_tied",2000,0.9445,0.9345,0.106,0.9445,0.00511955808639769,-0.00589496936479194,0.379524339271591,0.01,98.8837240357897,68.9825717413951,29.9011522943946,1
10,0.06,"lik5_skew","sb_tied",2000,0.9435,0.915,0.1195,0.9435,0.00516273909857936,-0.00513789666869892,0.42480559470081,0.06,98.802459160616,92.5118744404659,6.29058472015008,1
30,0.06,"lik5_skew","sb_tied",2000,0.9535,0.9425,0.1165,0.9535,0.00470838348055891,-0.0110929796105939,0.42866071040178,0.06,99.0033034069071,93.0125436754872,5.99075973141991,1
10,0,"bin_10","sb_tied",2000,0.944,0.921,0.132,0.943,0.00514120608417908,-0.0238264646345111,0.359974707273362,0,98.616838418026,0,98.616838418026,1
30,0,"bin_10","sb_tied",2000,0.9445,0.932,0.108,0.946,0.00511955808639769,-0.0247499017438506,0.359925391652968,0,98.8268178948451,0,98.8268178948451,1
10,0.01,"bin_10","sb_tied",2000,0.9525,0.9245,0.1215,0.953,0.00475624589355933,-0.0324053401031357,0.368822855714516,0.01,98.6264288418133,46.1773813218121,52.4490475200011,1
30,0.01,"bin_10","sb_tied",2000,0.9535,0.947,0.106,0.954,0.00470838348055891,-0.0303720968576224,0.37069098893077,0.01,98.8621103281487,47.4082027948112,51.4539075333375,1
10,0.06,"bin_10","sb_tied",2000,0.9465,0.9135,0.1215,0.946,0.00503178646208283,-0.0238791255062192,0.419731531178284,0.06,98.7643097649494,83.295273018675,15.4690367462744,1
30,0.06,"bin_10","sb_tied",2000,0.9495,0.9375,0.104,0.95,0.00489641450451246,-0.0239931753706568,0.42019217751382,0.06,98.976851469714,84.2446502852985,14.7322011844156,1
10,0,"lik5_skew","n_tied",1999,0.784892446223112,0.711855927963982,0.416,0.783891945972987,0.00919023270821372,0.0233017395223577,0.0051764322558517,0,39.645111245104,0,39.645111245104,0.856928464232116
30,0,"lik5_skew","n_tied",2000,0.6245,0.563,0.082,0.607,0.0108281981418886,0.0263623423498731,0.00426892143699563,0,43.4626481332861,0,43.4626481332861,0.903
10,0.01,"lik5_skew","n_tied",1998,0.931431431431431,0.895895895895896,0.4075,0.930965482741371,0.00565379743286978,0.00570368544832735,0.0165851844471223,0.01,71.7822776404855,67.6187525588274,4.16352508165814,0.990990990990991
30,0.01,"lik5_skew","n_tied",2000,0.9255,0.9085,0.187,0.9225,0.00587153089066216,0.00931769503488749,0.0162006590673972,0.01,77.7293537609134,69.0430818075102,8.68627195340325,1
10,0.06,"lik5_skew","n_tied",2000,0.9475,0.915,0.272,0.9475,0.00498717104178311,-0.00198881191900288,0.0670486286378886,0.06,91.9375043651785,92.5799138691487,-0.642409503970228,1
30,0.06,"lik5_skew","n_tied",2000,0.9505,0.9415,0.2385,0.9505,0.0048502448391808,-0.0043206599011474,0.0668567131355818,0.06,93.6906186938376,93.0249935984671,0.66562509537053,1
10,0,"bin_10","n_tied",2000,0.9355,0.8945,0.511,0.907,0.00549271107923947,-0.00424400742076166,0.0167266589465903,0,69.7817107888968,0,69.7817107888968,0.989
30,0,"bin_10","n_tied",2000,0.9375,0.9095,0.2685,0.785,0.00541265877365274,-0.00454230012011358,0.0159874554968178,0,76.6613101297104,0,76.6613101297104,0.9995
