r	n	p	method	bias_ci	bias_es	bias_var
r=0.1	n=300	0.3	Viechtbauer (r)	0.9975	-1.82833907598161e-05	0.98469615734673
r=0.1	n=300	0.3	Lipsey-Cooper (z)	0.9844	-0.0244954207472792	0.994240535314719
r=0.1	n=300	0.3	Viechtbauer (z)	0.9846	-0.0241147767099072	0.983851938533872
r=0.1	n=300	0.5	Lipsey-Cooper (r)	0.9941	-0.0209697520420009	0.984147876243326
r=0.1	n=300	0.5	Viechtbauer (r)	0.9987	-0.000528589525959477	0.980805610202987
r=0.1	n=300	0.5	Lipsey-Cooper (z)	0.9934	-0.0212152339087996	0.990470654738025
r=0.1	n=300	0.5	Viechtbauer (z)	0.9937	-0.0208364153256819	0.980799732560772
r=0.1	n=300	0.7	Lipsey-Cooper (r)	0.9847	-0.0253895105573213	1.00043395008151
r=0.1	n=300	0.7	Viechtbauer (r)	0.9966	-0.00096711495193191	0.995911965845163
r=0.1	n=300	0.7	Lipsey-Cooper (z)	0.9836	-0.0256748819520359	1.0063377394663
r=0.1	n=300	0.7	Viechtbauer (z)	0.9841	-0.0252921858304348	0.99598185575694
r=0.25	n=25	0.3	Lipsey-Cooper (r)	0.9942	-0.0653586096833714	0.938807818809527
r=0.25	n=25	0.3	Viechtbauer (r)	0.9929	-0.00248283994471355	0.893317293672436
r=0.25	n=25	0.3	Lipsey-Cooper (z)	0.9854	-0.0721516216847828	0.958301588313322
r=0.25	n=25	0.3	Viechtbauer (z)	0.9887	-0.06067556185132	0.870207911600778
r=0.25	n=25	0.5	Lipsey-Cooper (r)	0.9966	-0.0596129220438645	0.918080255515314
r=0.25	n=25	0.5	Viechtbauer (r)	0.9948	-0.00315317639432376	0.879230380823282
r=0.25	n=25	0.5	Lipsey-Cooper (z)	0.9928	-0.0657937904905898	0.940662476967117
r=0.25	n=25	0.5	Viechtbauer (z)	0.9938	-0.0542220069413794	0.858280017606041
r=0.25	n=25	0.7	Lipsey-Cooper (r)	0.9933	-0.0662304701672788	0.924718970814964
r=0.25	n=25	0.7	Viechtbauer (r)	0.9914	-0.00294698528754263	0.879811777809877
r=0.25	n=25	0.7	Lipsey-Cooper (z)	0.9859	-0.0730232033599896	0.944165573916856
r=0.25	n=25	0.7	Viechtbauer (z)	0.9873	-0.0614035985118141	0.855900921636665
r=0.25	n=50	0.3	Lipsey-Cooper (r)	0.9884	-0.0627154773162927	0.998964826040179
r=0.25	n=50	0.3	Viechtbauer (r)	0.9969	0.000662112095036248	0.971052186932595
r=0.25	n=50	0.3	Lipsey-Cooper (z)	0.9787	-0.0673814949368551	1.03025379461529
r=0.25	n=50	0.3	Viechtbauer (z)	0.9823	-0.0614105964685001	0.964044551210539
r=0.25	n=50	0.5	Lipsey-Cooper (r)	0.9951	-0.0541219446132981	0.965967129472935
r=0.25	n=50	0.5	Viechtbauer (r)	0.9983	-0.00129594269608248	0.945163978864212
r=0.25	n=50	0.5	Lipsey-Cooper (z)	0.9907	-0.0583337006654928	0.996828566662028
r=0.25	n=50	0.5	Viechtbauer (z)	0.9925	-0.0525339246982336	0.936563550792774
r=0.25	n=50	0.7	Lipsey-Cooper (r)	0.9894	-0.0648635560795283	0.986656628971044
r=0.25	n=50	0.7	Viechtbauer (r)	0.9952	-0.00259733529145767	0.959337303645063
r=0.25	n=50	0.7	Lipsey-Cooper (z)	0.9808	-0.0695959952983463	1.01440700325087
r=0.25	n=50	0.7	Viechtbauer (z)	0.9836	-0.0637218258991847	0.949089729218991
r=0.25	n=75	0.3	Lipsey-Cooper (r)	0.9792	-0.0597102987590943	1.00137283202234
r=0.25	n=75	0.3	Viechtbauer (r)	0.995	0.00206888129416087	0.981318180015173
r=0.25	n=75	0.3	Lipsey-Cooper (z)	0.9722	-0.0636337408855428	1.03529984255875
r=0.25	n=75	0.3	Viechtbauer (z)	0.9734	-0.0594305586069979	0.976928264984163
r=0.25	n=75	0.5	Lipsey-Cooper (r)	0.9926	-0.0515341022950875	0.975004158811631
r=0.25	n=75	0.5	Viechtbauer (r)	0.9981	0.00155234944619831	0.960678797180362
r=0.25	n=75	0.5	Lipsey-Cooper (z)	0.9877	-0.0550636468671039	1.01069228526638
r=0.25	n=75	0.5	Viechtbauer (z)	0.9894	-0.0508698328991911	0.955190027797856
r=0.25	n=75	0.7	Lipsey-Cooper (r)	0.9839	-0.0617535481796079	1.00841872839891
r=0.25	n=75	0.7	Viechtbauer (r)	0.9957	-0.000143012246613745	0.988376517519382
r=0.25	n=75	0.7	Lipsey-Cooper (z)	0.976	-0.0658462777459266	1.03914848357904
r=0.25	n=75	0.7	Viechtbauer (z)	0.9783	-0.0616494570780832	0.979813155206712
r=0.25	n=100	0.3	Lipsey-Cooper (r)	0.9754	-0.0617041696436199	0.984848606974777
r=0.25	n=100	0.3	Viechtbauer (r)	0.9956	-5.83064497290988e-05	0.968503364872048
r=0.25	n=100	0.3	Lipsey-Cooper (z)	0.9679	-0.0654747441819849	1.01752568330429
r=0.25	n=100	0.3	Viechtbauer (z)	0.9705	-0.0621457555105641	0.963675353704121
r=0.25	n=100	0.5	Lipsey-Cooper (r)	0.9888	-0.0525067686036195	0.977450054792593
r=0.25	n=100	0.5	Viechtbauer (r)	0.9986	-0.000425433679744055	0.966514395814685
