"rho","n","p_exp","p_case","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0,25,0.5,0.1,"phi (r)","population",1000,944,0.056,0.00680487504886076,0.00661405126023688,0.203213966855014,0.00467931960712857,0.192844777598785,0.948974032559353,0.0218516121993673,0.203220267137184,0.998158379373849,0.00183992406141857,0.749605941218862,"03b_2x2_to_cor_CONT",1000
0.1,25,0.5,0.1,"phi (r)","population",1000,935,0.0649999999999999,-0.0406146635228478,0.00650684717484316,0.198964874403938,0.0046034981837886,0.192892389410015,0.969479612860741,0.0224310831265811,0.202963625015647,0.996131528046422,0.00273012667121075,0.749781464674339,"03b_2x2_to_cor_CONT",1000
0.25,25,0.5,0.1,"phi (r)","population",1000,923,0.077,-0.126459953859191,0.00632391399153766,0.192126293835835,0.00447410680036962,0.192807072622156,1.00354339207158,0.0233698377525045,0.229923119379044,0.955849889624724,0.00965187398212005,0.749564854558955,"03b_2x2_to_cor_CONT",1000
0,50,0.5,0.1,"phi (r)","population",1000,997,0.003,-0.00383136735793634,0.00462127385562696,0.145918139833796,0.00326937409824183,0.140293796083414,0.96145548622818,0.02154192526623,0.14589525947178,0.991282689912827,0.00328044103586846,0.547348832016526,"03b_2x2_to_cor_CONT",1000
0.1,50,0.5,0.1,"phi (r)","population",1000,991,0.00900000000000001,-0.0540567242536353,0.00450893266068301,0.141941887668605,0.00318990670479821,0.140400119132007,0.989138029922515,0.0222292241243641,0.15181995401864,0.979089790897909,0.00501816776290673,0.547792937814945,"03b_2x2_to_cor_CONT",1000
0.25,50,0.5,0.1,"phi (r)","population",1000,991,0.00900000000000001,-0.135402816485203,0.00451717772056547,0.14220144341089,0.00319573978632321,0.140998734999554,0.991542220792653,0.0222832542961635,0.196302746607649,0.824897400820793,0.0140568359182529,0.550444749159433,"03b_2x2_to_cor_CONT",1000
0,100,0.5,0.1,"phi (r)","population",1000,1000,0,-0.0015206720600032,0.00315070328203418,0.0996339860259587,0.00222899843421439,0.100214881634833,1.00583029578605,0.0225023031178173,0.09959576639478,0.980632008154944,0.00440008256072875,0.391750321870433,"03b_2x2_to_cor_CONT",1000
0.1,100,0.5,0.1,"phi (r)","population",1000,1000,0,-0.0571311855350633,0.00315784578157488,0.0998598516933121,0.0022340514712247,0.10041497593598,1.00555903331774,0.0224962344695455,0.115004305792748,0.912244897959184,0.00903813598866573,0.392540970478128,"03b_2x2_to_cor_CONT",1000
0.25,100,0.5,0.1,"phi (r)","population",1000,1000,0,-0.135318815987388,0.00286310365022452,0.0905392871185154,0.00202553302614509,0.101603199245963,1.12220012416229,0.0251057136164483,0.162789272096308,0.731404958677686,0.0142459123142271,0.397175163489352,"03b_2x2_to_cor_CONT",1000
0,300,0.5,0.1,"phi (r)","population",1000,1000,0,0.000560882796034151,0.00183396378686239,0.0579950271275273,0.00129745712096472,0.0577165081025791,0.995197536086401,0.0222644284159488,0.0579687358656543,0.959839357429719,0.00622113941824714,0.226037568645996,"03b_2x2_to_cor_CONT",1000
