"q","r_true","r_guess","delta","n","imb_std","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.7,0.2,0.2,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,-0.0197948081591786,0.0146218554613167,0.462383668755328,0.0103443866372405,0.482246743747065,1.04295799426741,0.0233329191062149,0.462576148222716,0.967,0.00564898220921256,1.92805512738133,"08b_pre_post_to_smd_g",1000
1,0.2,0.2,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,-0.00876581706799688,0.0117314423829033,0.370980781690078,0.00829953326664425,0.384447572913365,1.03630050905046,0.0231839787223531,0.370898844958928,0.97,0.00539444158370447,1.54092719229461,"08b_pre_post_to_smd_g",1000
1.4,0.2,0.2,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.00683074787223116,0.0103620868638658,0.32767795802327,0.00733076818958282,0.332331285305849,1.01420091638342,0.0226895695411449,0.327585302549763,0.957,0.00641490451994416,1.33448164807243,"08b_pre_post_to_smd_g",1000
0.5,0.5,0.2,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.00659617901169404,0.0167451299798774,0.529527504519819,0.0118465197020283,0.635248274379235,1.1996511398502,0.0268384375551623,0.529303776901789,0.989,0.00329833291224522,2.53799720999162,"08b_pre_post_to_smd_g",1000
0.7,0.5,0.2,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,-0.00827889766444803,0.0116805299193336,0.369370788228369,0.00826351470462157,0.481733912031912,1.30420143493879,0.0291774230092664,0.369278870995605,0.994,0.00244213021765835,1.92737784811263,"08b_pre_post_to_smd_g",1000
1,0.5,0.2,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.00551522944132646,0.00971289648853109,0.307148755812098,0.0068714915771581,0.379597064176412,1.23587368333224,0.0276488035349364,0.30704468012736,0.992,0.00281709069786544,1.5230148330289,"08b_pre_post_to_smd_g",1000
1.4,0.5,0.2,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,8.98628020456531e-05,0.00814464650912855,0.257556337057856,0.00576201650583747,0.3295004969462,1.27933368174973,0.0286210849048527,0.257427542363331,0.991,0.00298646948753876,1.3236005434119,"08b_pre_post_to_smd_g",1000
0.5,0.8,0.2,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.0123158909536498,0.0127739347684479,0.403947285507108,0.0090370555551788,0.622189810126181,1.54027476467652,0.0344588245002002,0.403933060331876,0.998,0.00141279864099595,2.49433538071478,"08b_pre_post_to_smd_g",1000
0.7,0.8,0.2,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.00649760854146869,0.00873166944687293,0.27611963227821,0.00617731210556636,0.472575040861821,1.71148656458324,0.0382891523745829,0.276058015994615,0.999,0.000999499874937461,1.89612827457006,"08b_pre_post_to_smd_g",1000
1,0.8,0.2,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.00675267053398103,0.00634200433598367,0.200551786323722,0.00448671819250516,0.376402625943042,1.87683507009741,0.041988307397797,0.200565192737869,0.999,0.000999499874937461,1.51189466477778,"08b_pre_post_to_smd_g",1000
1.4,0.8,0.2,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,-0.00377350136843471,0.00580150235734677,0.183459613000519,0.00410433433841732,0.326632969638972,1.78040803802441,0.0398310545157269,0.183406683316818,0.999,0.000999499874937461,1.3128527324739,"08b_pre_post_to_smd_g",1000
0.5,0.2,0.5,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,-0.00607578460229533,0.0192810140925625,0.60971920130302,0.013640557797826,0.555623011255257,0.91127687969781,0.0203869665261909,0.609444552106004,0.927,0.00822623850857729,2.20981145137471,"08b_pre_post_to_smd_g",1000
0.7,0.2,0.5,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,-0.0209767333032061,0.0150177258957514,0.474902191066667,0.0106244493722934,0.401809841431838,0.846089676969781,0.0189286069984116,0.475127964162199,0.916,0.00877177291087725,1.60194549852467,"08b_pre_post_to_smd_g",1000
1,0.2,0.5,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.0125549383111791,0.0117144667477198,0.370443964970997,0.00828752367359254,0.311173518301723,0.840001586545178,0.0187924050399728,0.370471495432843,0.912,0.00895857131466843,1.24642701016296,"08b_pre_post_to_smd_g",1000
1.4,0.2,0.5,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,-0.00268453476678082,0.00984038680436958,0.311180353588736,0.00696168595249071,0.2707652871114,0.870123335193745,0.0194662848399435,0.311036309735801,0.928,0.00817410545564467,1.08757802831745,"08b_pre_post_to_smd_g",1000
0.5,0.5,0.5,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,-0.00503311351782741,0.0164510718941755,0.520228571367749,0.0116384851922935,0.546012726534211,1.04956312779721,0.0234806882850157,0.519992750846149,0.963,0.00596917079668525,2.17699397609963,"08b_pre_post_to_smd_g",1000
0.7,0.5,0.5,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.00345554870927793,0.0122984475379629,0.388911059040528,0.00870066707382498,0.398127560033209,1.0236982229701,0.022902042035274,0.388731913854604,0.952,0.00675988165576884,1.59082517508116,"08b_pre_post_to_smd_g",1000
1,0.5,0.5,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.0120884696121517,0.00974163354695812,0.308057501390925,0.00689182191375407,0.308687324407233,1.00204449822992,0.022417607752697,0.308140642948347,0.962,0.00604615580348373,1.23771148230288,"08b_pre_post_to_smd_g",1000
1.4,0.5,0.5,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,-0.000978229394613105,0.00827612534213044,0.261714062821725,0.00585503259991547,0.268820512091409,1.02715348649234,0.0229793427364509,0.26158500217085,0.968,0.00556560868189635,1.07997875981106,"08b_pre_post_to_smd_g",1000
0.5,0.8,0.5,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,-0.0109228598894018,0.0137347688796208,0.434331527956007,0.00971680783193445,0.530399705487548,1.2211862859315,0.0273202190115749,0.434251702551166,0.987,0.00358203852575597,2.12458765489552,"08b_pre_post_to_smd_g",1000
0.7,0.8,0.5,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.010882918275942,0.00830499001197948,0.262626843828042,0.00587545321656462,0.390766173793386,1.48791406124975,0.0332874177281953,0.26272100058842,0.996,0.00199599599197994,1.56657467524615,"08b_pre_post_to_smd_g",1000
1,0.8,0.5,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.0120020616029542,0.00642041211530077,0.2030312580129,0.00454218860710263,0.302413696496436,1.48949329012787,0.0333227480289993,0.203284331716175,1,0,1.21446011424024,"08b_pre_post_to_smd_g",1000
1.4,0.8,0.5,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.00727105043838086,0.00567207836311229,0.179366866943944,0.00401277196180655,0.265760622519009,1.48165950070402,0.0331474915220964,0.179424548651534,0.997,0.00172945077987204,1.06833861052547,"08b_pre_post_to_smd_g",1000
0.5,0.2,0.8,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.00814439555179157,0.0193224696551181,0.611030141296613,0.0136698859749834,0.450807537710907,0.737782815024948,0.0165055801245614,0.610778852710447,0.849,0.0113224997240009,1.78029618042045,"08b_pre_post_to_smd_g",1000
0.7,0.2,0.8,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.00256874190819768,0.0144110853802723,0.455718533568142,0.0101952751092505,0.300248747993866,0.658846910708254,0.0147396364526966,0.455497860467699,0.813,0.0123300851578568,1.18824499997414,"08b_pre_post_to_smd_g",1000
1,0.2,0.8,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,-0.00308608770079355,0.0116406396139258,0.368109346011885,0.00823529388522503,0.214781506569895,0.583472027800566,0.0130533594835452,0.36793818783591,0.772,0.0132671021704063,0.857849485671256,"08b_pre_post_to_smd_g",1000
1.4,0.2,0.8,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,-0.0281692160308536,0.0102763040480022,0.324965267200953,0.00727008022720544,0.191812868285037,0.590256521680586,0.0132051412885164,0.326021973483219,0.756,0.0135817524642441,0.769951812686143,"08b_pre_post_to_smd_g",1000
0.5,0.5,0.8,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.0304602771757439,0.0167181132477618,0.528673160435622,0.0118274064285168,0.444918836426943,0.841576364611235,0.0188276357677945,0.529285975385752,0.899,0.00952885092757778,1.76295910157623,"08b_pre_post_to_smd_g",1000
0.7,0.5,0.8,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.0192127857400881,0.0121523987105702,0.384292589598951,0.0085973432827738,0.291866443338111,0.759490167746152,0.0169912141652782,0.384580608926323,0.864,0.0108399261990108,1.16002380008724,"08b_pre_post_to_smd_g",1000
1,0.5,0.8,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.00273689228217849,0.00898410780246348,0.284102434002747,0.00635590229606621,0.209539429829238,0.737548872345148,0.0165003463896907,0.283973536430146,0.868,0.0107040179372047,0.83828747730225,"08b_pre_post_to_smd_g",1000
1.4,0.5,0.8,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,-0.00316927285249275,0.00837261174415727,0.26476523075812,0.00592329292778168,0.190023287170197,0.717704838456663,0.0160563982728864,0.264651792137132,0.849,0.0113224997240009,0.762954815910135,"08b_pre_post_to_smd_g",1000
0.5,0.8,0.8,0.5,25,0,"bonett","own",1000,1000,1000,1000,0,0.0138176449356036,0.0132115149408793,0.417784785545234,0.00934662628649921,0.426444650026095,1.02072805133284,0.0228355937459615,0.417804392290951,0.957,0.00641490451994416,1.70287009876711,"08b_pre_post_to_smd_g",1000
