or	n	br	br_guess	method	bias_ci	bias_es	bias_var
or=0.25	n=50	br=0.05	guessed br=0.05	Grant	1	0.0298847919847977	2.83666430940618
or=0.25	n=50	br=0.05	guessed br=0.05	metaumbrella	1	-0.047910594956394	1.73340715374899
or=0.25	n=50	br=0.05	guessed br=0.05	or = rr	1	0.0387757771271031	2.93662460705784
or=0.25	n=50	br=0.05	guessed br=0.15	Di Pietrantonj	1	-0.0867215060194551	1.62113535920863
or=0.25	n=50	br=0.05	guessed br=0.15	Grant	1	0.00468028056488023	2.89018552860997
or=0.25	n=50	br=0.05	guessed br=0.15	metaumbrella	1	-0.0465831132351037	1.70882811672988
or=0.25	n=50	br=0.05	guessed br=0.15	or = rr	1	0.0379999552520014	2.88762929367973
or=0.25	n=50	br=0.05	guessed br=0.4	Di Pietrantonj	1	-0.0834946803963272	1.64960924491023
or=0.25	n=50	br=0.05	guessed br=0.4	Grant	1	-0.0392453074899638	1.48394640695695
or=0.25	n=50	br=0.05	guessed br=0.4	metaumbrella	1	-0.0470371938426468	1.74586654158138
or=0.25	n=50	br=0.05	guessed br=0.4	or = rr	1	0.0388746530135958	2.94789415704382
or=0.25	n=50	br=0.05	guessed br=0.7	Di Pietrantonj	1	-0.0857210979871477	1.62533510353276
or=0.25	n=50	br=0.05	guessed br=0.7	Grant	1	-0.603237548613113	2.03370600073526
or=0.25	n=50	br=0.05	guessed br=0.7	metaumbrella	1	-0.0475474814336345	1.76175161164684
or=0.25	n=50	br=0.05	guessed br=0.7	or = rr	1	0.0391827471457377	2.90473755931221
or=0.25	n=50	br=0.15	guessed br=0.01	Di Pietrantonj	1	-0.0948067762490072	1.1336638513385
or=0.25	n=50	br=0.15	guessed br=0.01	Grant	1	0.117119834239301	1.94752711356309
or=0.25	n=50	br=0.15	guessed br=0.01	metaumbrella	1	-0.0999828255003836	1.2224124853915
or=0.25	n=50	br=0.15	guessed br=0.01	or = rr	1	0.122377695838327	1.91469328176169
or=0.25	n=50	br=0.15	guessed br=0.05	Di Pietrantonj	1	-0.0955422707104413	1.14342409303459
or=0.25	n=50	br=0.15	guessed br=0.05	Grant	1	0.0952334843964885	1.93469541739437
or=0.25	n=50	br=0.15	guessed br=0.05	metaumbrella	1	-0.0995418670735715	1.22676261230537
