r	br	n	method	bias_ci	bias_es	bias_var
r=0.1	br=0.5	n=25	Cooper (r)	1	0.0111248414086192	1.82474588606139
r=0.1	br=0.5	n=25	Digby (r)	1	0.0563211681884821	0.923288073981945
r=0.1	br=0.5	n=25	Pearson (r)	1	0.0635903897595017	0.923798398859871
r=0.1	br=0.5	n=25	Bonett (z)	1	0.0712519444942028	0.929194838045166
r=0.1	br=0.5	n=25	Cooper (z)	1	0.0129105997888504	1.74228675165177
r=0.1	br=0.5	n=25	Digby (z)	1	0.0724274571697187	0.928102158809124
r=0.1	br=0.5	n=25	Pearson (z)	1	0.0836679190006017	0.932699954572052
r=0.1	br=0.5	n=50	Bonett (r)	1	0.0565035212335893	0.93334440630875
r=0.1	br=0.5	n=50	Cooper (r)	1	0.0110951660487556	2.6988321516527
r=0.1	br=0.5	n=50	Digby (r)	1	0.0577543503114158	0.933120131696484
r=0.1	br=0.5	n=50	Pearson (r)	1	0.0651830374476845	0.933459348048551
r=0.1	br=0.5	n=50	Bonett (z)	1	0.06460151947084	0.926127899486163
r=0.1	br=0.5	n=50	Cooper (z)	1	0.0120914661576587	2.58699494849709
r=0.1	br=0.5	n=50	Digby (z)	1	0.0660524612678622	0.924447014613922
r=0.1	br=0.5	n=50	Pearson (z)	1	0.075352998493238	0.92443832843736
r=0.1	br=0.5	n=75	Bonett (r)	1	0.0561684048500308	0.963193174044896
r=0.1	br=0.5	n=75	Cooper (r)	1	0.0106168792135874	3.4646601814265
r=0.1	br=0.5	n=75	Digby (r)	1	0.0574688812989515	0.962612295126677
r=0.1	br=0.5	n=75	Pearson (r)	1	0.0648775702106605	0.962654825257613
r=0.1	br=0.5	n=75	Bonett (z)	1	0.061389799006247	0.962666988965634
r=0.1	br=0.5	n=75	Cooper (z)	1	0.0112360318979597	3.35254986984474
r=0.1	br=0.5	n=75	Digby (z)	1	0.0628519438149556	0.961362134903745
r=0.1	br=0.5	n=75	Pearson (z)	1	0.0714252823634518	0.961684882632031
r=0.1	br=0.5	n=100	Bonett (r)	1	0.0568913438558221	1.00506693987195
r=0.1	br=0.5	n=100	Cooper (r)	1	0.0108061314705586	4.19541167988225
r=0.1	br=0.5	n=100	Digby (r)	1	0.0583079345082633	1.0042106993388
r=0.1	br=0.5	n=100	Pearson (r)	0.999866666666667	0.0657803932964632	1.0042577597911
r=0.1	br=0.5	n=100	Bonett (z)	1	0.0609884425789229	1.00161505499381
r=0.1	br=0.5	n=100	Cooper (z)	1	0.011292687788788	4.07114605704327
r=0.1	br=0.5	n=100	Digby (z)	1	0.0625580373482684	0.999863412432103
r=0.1	br=0.5	n=100	Pearson (z)	0.999866666666667	0.0709316877937894	0.999670534091605
r=0.1	br=0.5	n=300	Bonett (r)	0.999733333333333	0.057509663242513	0.991970562032348
r=0.1	br=0.5	n=300	Cooper (r)	1	0.0106736603160093	7.25006272695713
r=0.1	br=0.5	n=300	Digby (r)	0.999466666666667	0.0590582946224493	0.988597275110918
r=0.1	br=0.5	n=300	Pearson (r)	0.998666666666667	0.0665897979558375	0.988599968743853
r=0.1	br=0.5	n=300	Bonett (z)	0.999733333333333	0.0595306056223468	0.990279271927745
r=0.1	br=0.5	n=300	Cooper (z)	1	0.0109127664453439	7.14465296154306
r=0.1	br=0.5	n=300	Digby (z)	0.999466666666667	0.0611658922639981	0.986601459078339
r=0.1	br=0.5	n=300	Pearson (z)	0.998666666666667	0.0691275290100919	0.98645408443946
r=0.1	br=0.7	n=25	Bonett (r)	1	0.0597884547079804	1.01852481594919
r=0.1	br=0.7	n=25	Cooper (r)	1	0.0219496444629885	1.70427777116217
r=0.1	br=0.7	n=25	Digby (r)	1	0.0679768232918154	1.03662501646384
r=0.1	br=0.7	n=25	Pearson (r)	1	0.0753773493605648	1.03629789199192
r=0.1	br=0.7	n=25	Bonett (z)	1	0.077173290980992	1.06494917787616
r=0.1	br=0.7	n=25	Cooper (z)	1	0.0254146651781814	1.64416240571693
r=0.1	br=0.7	n=25	Digby (z)	1	0.0886036915946426	1.09030171302551
r=0.1	br=0.7	n=25	Pearson (z)	1	0.100805686850342	1.1015826653378
r=0.1	br=0.7	n=50	Bonett (r)	1	0.0700139522500008	0.926108082917454
r=0.1	br=0.7	n=50	Cooper (r)	1	0.0283835250442818	2.23814807995996
r=0.1	br=0.7	n=50	Digby (r)	1	0.0805971346120042	0.928890112002933
r=0.1	br=0.7	n=50	Pearson (r)	1	0.0889534380183722	0.928884594765567
r=0.1	br=0.7	n=50	Bonett (z)	1	0.0816102345631685	0.942266137282427
r=0.1	br=0.7	n=50	Cooper (z)	1	0.0314999960915367	2.15036921661456
r=0.1	br=0.7	n=50	Digby (z)	1	0.0951500829141778	0.945656867222997
r=0.1	br=0.7	n=50	Pearson (z)	1	0.1065599303604	0.95079533340925
r=0.1	br=0.7	n=75	Bonett (r)	1	0.0726281829351126	0.921442395940119
r=0.1	br=0.7	n=75	Cooper (r)	1	0.029613657109929	2.77405847260406
r=0.1	br=0.7	n=75	Digby (r)	1	0.0840713094213597	0.919327124546351
r=0.1	br=0.7	n=75	Pearson (r)	1	0.0927364364313081	0.919515949022876
r=0.1	br=0.7	n=75	Bonett (z)	1	0.0813410670601737	0.92465166913876
r=0.1	br=0.7	n=75	Cooper (z)	1	0.0320602923793101	2.66775171812121
r=0.1	br=0.7	n=75	Digby (z)	1	0.0952277790686625	0.919074445022557
r=0.1	br=0.7	n=75	Pearson (z)	1	0.106137391123895	0.921250504542668
r=0.1	br=0.7	n=100	Bonett (r)	1	0.0718467441436535	0.931093813815446
r=0.1	br=0.7	n=100	Cooper (r)	1	0.0287074685791865	3.28641934164328
r=0.1	br=0.7	n=100	Digby (r)	0.999866666666667	0.0833354795105165	0.929208450266915
r=0.1	br=0.7	n=100	Pearson (r)	0.9996	0.0919753698345883	0.929559325533861
r=0.1	br=0.7	n=100	Bonett (z)	1	0.0784277081140477	0.925434277414691
r=0.1	br=0.7	n=100	Cooper (z)	1	0.0305234362431857	3.16831086551536
r=0.1	br=0.7	n=100	Digby (z)	0.999866666666667	0.0917578673463331	0.919520307550728
r=0.1	br=0.7	n=100	Pearson (z)	0.9996	0.10205574806713	0.919526220767967
r=0.1	br=0.7	n=300	Bonett (r)	0.997333333333333	0.0705862256952174	0.946686722752141
r=0.1	br=0.7	n=300	Cooper (r)	1	0.0273490766404948	5.95280605446091
r=0.1	br=0.7	n=300	Digby (r)	0.993866666666667	0.0824826248105922	0.942100111108401
r=0.1	br=0.7	n=300	Pearson (r)	0.989733333333333	0.0911033158007562	0.942118224713685
r=0.1	br=0.7	n=300	Bonett (z)	0.997333333333333	0.0734313273045043	0.946187136152637
r=0.1	br=0.7	n=300	Cooper (z)	1	0.0281034993649291	5.87056487317112
r=0.1	br=0.7	n=300	Digby (z)	0.993866666666667	0.0861493512887609	0.940688700529964
r=0.1	br=0.7	n=300	Pearson (z)	0.989733333333333	0.0954497337645674	0.940654610905299
r=0.2	br=0.3	n=25	Bonett (r)	1	0.107397323792384	0.944182586012404
r=0.2	br=0.3	n=25	Cooper (r)	1	0.0225317545552714	1.80873757991072
r=0.2	br=0.3	n=25	Digby (r)	1	0.110147371435189	0.947373423371807
r=0.2	br=0.3	n=25	Pearson (r)	1	0.124200546675642	0.948114097882094
r=0.2	br=0.3	n=25	Bonett (z)	1	0.1453064762292	0.971209276714415
r=0.2	br=0.3	n=25	Cooper (z)	1	0.0264833160704085	1.79318293875291
r=0.2	br=0.3	n=25	Digby (z)	1	0.148185214671844	0.97307062164296
r=0.2	br=0.3	n=25	Pearson (z)	1	0.171922603457918	0.982682513798699
r=0.2	br=0.3	n=50	Bonett (r)	1	0.113235020580447	0.961099546827691
r=0.2	br=0.3	n=50	Cooper (r)	1	0.0238321783548477	2.67336438352273
r=0.2	br=0.3	n=50	Digby (r)	1	0.115822505459143	0.961102401549052
r=0.2	br=0.3	n=50	Pearson (r)	1	0.130559426951354	0.962128040979904
r=0.2	br=0.3	n=50	Bonett (z)	1	0.13709533090069	0.949692168029788
r=0.2	br=0.3	n=50	Cooper (z)	1	0.0268816784695141	2.636387168357
r=0.2	br=0.3	n=50	Digby (z)	1	0.140208501057663	0.945268799934406
r=0.2	br=0.3	n=50	Pearson (z)	1	0.160624577854074	0.946250102847885
r=0.2	br=0.3	n=75	Bonett (r)	1	0.11357638462421	0.961178642246099
r=0.2	br=0.3	n=75	Cooper (r)	1	0.0233020980566326	3.33415624484887
r=0.2	br=0.3	n=75	Digby (r)	1	0.116236895591435	0.95837404580305
r=0.2	br=0.3	n=75	Pearson (r)	0.999733333333333	0.131090890552195	0.958908973713965
r=0.2	br=0.3	n=75	Bonett (z)	1	0.131720500994131	0.953729023374985
r=0.2	br=0.3	n=75	Cooper (z)	1	0.0255894715149652	3.32564228944794
r=0.2	br=0.3	n=75	Digby (z)	1	0.134908922664425	0.947880228893621
r=0.2	br=0.3	n=75	Pearson (z)	0.999733333333333	0.153950958027991	0.947956873905196
r=0.2	br=0.3	n=100	Bonett (r)	0.999866666666667	0.113312128927578	0.964486179736457
