"rho","n","p_exp","p_case","dgm","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.1,100,0.3,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.0163186283044543,0.00741906316760885,0.234611377143075,0.00524869487972254,0.222945112891368,0.950274089885278,0.02125940698465,0.235061169520668,0.918,0.00867617427210864,0.866901739721449,"09a_or_to_cor_CONT",1000
0.25,100,0.3,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.00621948196084413,0.0071483478603826,0.226050607460003,0.00505717446605299,0.211767420406237,0.936814206277709,0.0209582842384601,0.226023140876692,0.913,0.00891240708226459,0.820577191250777,"09a_or_to_cor_CONT",1000
0.5,100,0.3,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.0066735657297456,0.00580490499819678,0.183567213951975,0.00410674157275453,0.18073133787881,0.984551293163349,0.0220262520691793,0.183596736342456,0.928,0.00817410545564467,0.694603559791764,"09a_or_to_cor_CONT",1000
0.75,100,0.3,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.0117577303497684,0.00371957146141512,0.117623177378329,0.00263145025769929,0.132805832863785,1.12907877362148,0.025259601857656,0.118150839470971,0.962,0.00604615580348373,0.50159391391886,"09a_or_to_cor_CONT",1000
0,300,0.3,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.00775720053860657,0.00415683609732949,0.131450699275666,0.00294079775936602,0.130916786580352,0.995938304640022,0.0222810007926247,0.131613757692414,0.938,0.00762600813007697,0.512256555415354,"09a_or_to_cor_CONT",1000
0.1,300,0.3,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.00897923977531796,0.00420934962488431,0.133111322826098,0.00297794901107615,0.127624797116299,0.958782426668791,0.0214497543763852,0.133347412375313,0.934,0.00785136930732467,0.499245958909545,"09a_or_to_cor_CONT",1000
0.25,300,0.3,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.00654668993968568,0.00374641451675774,0.118472029320735,0.00265044066173682,0.121360756504137,1.0243831999837,0.0229173662509526,0.118593613903988,0.945,0.00720936890441875,0.474432319052266,"09a_or_to_cor_CONT",1000
0.5,300,0.3,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.000863951871604613,0.0032719375556787,0.103467750377887,0.00231476690618306,0.103232988752553,0.997731064757121,0.0223211081862292,0.103419612287655,0.942,0.00739161687318817,0.401974580586794,"09a_or_to_cor_CONT",1000
0.75,300,0.3,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,0.00022311246245456,0.00232009792548492,0.0733679383916395,0.00164137787033728,0.0740887598557717,1.00982474742965,0.0225916664647461,0.07333158465918,0.936,0.0077397674383666,0.286191088319864,"09a_or_to_cor_CONT",1000
0,25,0.5,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.0063278209095997,0.0106677016405949,0.337342345833948,0.00754697860288526,0.404857703223911,1.20013899299555,0.0268493517415808,0.337233005134317,0.946,0.00714730718522718,1.56290560419357,"09a_or_to_cor_CONT",1000
0.1,25,0.5,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.0253328195607598,0.0107455354365287,0.339803666574823,0.007602042946854,0.400339896476221,1.17815060829565,0.0263574304903904,0.340577182196303,0.949,0.00695693898205238,1.54400762822377,"09a_or_to_cor_CONT",1000
0.25,25,0.5,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.0764160625946146,0.0102092714669091,0.32284551086401,0.00722265731716818,0.39957524079962,1.23766701829077,0.0276889237888179,0.331608819671044,0.947,0.00708456067798138,1.53755525644739,"09a_or_to_cor_CONT",1000
0.5,25,0.5,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.147354258267455,0.00822934677879029,0.260234794763471,0.00582193860942942,0.381122841343668,1.46453452425558,0.032764373800804,0.298944315361126,0.981,0.00431729081716764,1.45587849192212,"09a_or_to_cor_CONT",1000
0.75,25,0.5,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.2701083045118,0.00662016201223005,0.209347904379704,0.00468350378902684,0.355033773537078,1.69590316458643,0.0379405225989603,0.341674135236112,0.991,0.00298646948753876,1.34279318538446,"09a_or_to_cor_CONT",1000
0,50,0.5,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.00108470867764702,0.00948225412381007,0.299855203837641,0.0067083211914356,0.301928213745383,1.00691336979052,0.0225265335070289,0.299707201645472,0.921,0.00852988862764339,1.16972215195657,"09a_or_to_cor_CONT",1000
0.1,50,0.5,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,0.00916372250615456,0.00933168486643341,0.295093785848537,0.00660179937427588,0.29934808447678,1.01441676793027,0.022694398543568,0.295088522166054,0.925,0.00832916562447884,1.15975745291809,"09a_or_to_cor_CONT",1000
0.25,50,0.5,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.0309989163643053,0.00895154978662203,0.283072859141199,0.0063328687826454,0.294394229990069,1.03999454728093,0.0232666212599055,0.284624394869013,0.933,0.00790638982089803,1.1375615517343,"09a_or_to_cor_CONT",1000
0.5,50,0.5,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.0565692112153186,0.00684558370625884,0.21647636425115,0.0048429807559292,0.270397847215784,1.2490871608601,0.0279444137167116,0.223640850294932,0.971,0.00530650544143696,1.03666768887878,"09a_or_to_cor_CONT",1000
0.75,50,0.5,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.164717117979995,0.00486409350141338,0.153816142164897,0.00344115450678774,0.247975130242267,1.61215283878611,0.0360668713227258,0.225316388974564,0.995,0.00223047080231955,0.940490270927535,"09a_or_to_cor_CONT",1000
0,100,0.5,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,0.00437067576399496,0.00751905570611239,0.237773418850008,0.00531943566100411,0.213245212030489,0.896842098926995,0.0200640335088569,0.237694689296046,0.906,0.00922843432007835,0.831426860230736,"09a_or_to_cor_CONT",1000
0.1,100,0.5,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.00242224266408505,0.00705297615310219,0.223034689266554,0.00498970274080086,0.214886089560502,0.963464877446427,0.0215545095494736,0.222936303466115,0.91,0.00904986187739901,0.836843148098818,"09a_or_to_cor_CONT",1000
0.25,100,0.5,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.00250605914720659,0.00655277545715026,0.207216954402459,0.00463583045634062,0.206782370024259,0.99790275665689,0.0223249492548346,0.207128481040364,0.932,0.00796090447122687,0.805062505434438,"09a_or_to_cor_CONT",1000
0.5,100,0.5,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.00498492457171461,0.00556556324677484,0.175998563215303,0.00393741671369729,0.188773032575942,1.07258280480968,0.0239956814722152,0.175981158743153,0.954,0.00662449998113065,0.730241964933983,"09a_or_to_cor_CONT",1000
0.75,100,0.5,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.0745762480840826,0.00297463864157244,0.0940663332331815,0.002104439638041,0.164935656851905,1.75339732274931,0.0392267743453086,0.12000518051812,0.997,0.00172945077987204,0.634742178607661,"09a_or_to_cor_CONT",1000
0,300,0.5,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.000530291729305783,0.00381988876539562,0.120795489071387,0.00270242079776004,0.124044861770244,1.0268997851148,0.0229736669625926,0.120736240785995,0.945,0.00720936890441875,0.485544890025317,"09a_or_to_cor_CONT",1000
0.1,300,0.5,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.00145993349245621,0.00378078045770814,0.119558775794116,0.0026747532109399,0.123025793102853,1.02899843433248,0.023020617666933,0.119507899213068,0.952,0.00675988165576884,0.481501758361782,"09a_or_to_cor_CONT",1000
0.25,300,0.5,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,0.00738614525748164,0.00384087886099615,0.121459254175411,0.00271727046338688,0.119639258259597,0.98501558462408,0.0220366391366878,0.121622996247366,0.938,0.00762600813007697,0.467959176143339,"09a_or_to_cor_CONT",1000
0.5,300,0.5,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,0.00634346704990478,0.00344939880050515,0.10907956767849,0.00244031374491823,0.107872804828498,0.988936857051459,0.0221243653278138,0.109209401184398,0.929,0.00812151463706124,0.420949296448037,"09a_or_to_cor_CONT",1000
0.75,300,0.5,0.1,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.00599670047043463,0.00216464439401007,0.0684520660938677,0.00153140062169366,0.0908927166380671,1.32783014194819,0.0297060413354741,0.0686801287396786,0.992,0.00281709069786544,0.35382813519653,"09a_or_to_cor_CONT",1000
0,25,0.3,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.0109363762500091,0.0108974808901336,0.344608603709814,0.00770953836862306,0.333524000653237,0.967834224284453,0.021652260002396,0.344609835881913,0.887,0.0100115433375679,1.29358199002583,"09a_or_to_cor_CONT",1000
0.1,25,0.3,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,0.00251400317075417,0.0107410006704577,0.339660264680418,0.0075988347785287,0.332763464984309,0.979695005824134,0.0219176078473936,0.33949970032286,0.884,0.0101264011376204,1.28792389355515,"09a_or_to_cor_CONT",1000
0.25,25,0.3,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.016519514557842,0.0105292074962368,0.332962776446271,0.00744899945242627,0.32174034546633,0.966295238465639,0.0216178300140231,0.333206003321575,0.878,0.0103496859855746,1.23826175389991,"09a_or_to_cor_CONT",1000
0.5,25,0.3,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.0233076695446926,0.00897521090590766,0.283821089430514,0.00634960809229102,0.282311656799471,0.994681746046173,0.0222528892289916,0.284635036238203,0.866,0.0107723720693262,1.06074313117818,"09a_or_to_cor_CONT",1000
0.75,25,0.3,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.0101500750374896,0.00621381562978852,0.196498103504853,0.00439602973351182,0.201881404389821,1.0273961976678,0.0229847726389537,0.196661936326249,0.849,0.0113224997240009,0.714833221261035,"09a_or_to_cor_CONT",1000
0,50,0.3,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,0.00170418108141486,0.00786362459805042,0.248669643943654,0.00556320457602329,0.241107589805225,0.969589958715899,0.0216915390622297,0.248551120416712,0.919,0.00862780389206894,0.942193682013177,"09a_or_to_cor_CONT",1000
0.1,50,0.3,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,0.00945954641794535,0.00768342850565991,0.242971343169492,0.00543572294038965,0.238628143733896,0.982124643264752,0.0219719633767351,0.243033992573917,0.926,0.00827792244467173,0.931233819812455,"09a_or_to_cor_CONT",1000
0.25,50,0.3,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.00838847452666562,0.00736476419074747,0.232894292728088,0.00521028049297479,0.229339000665039,0.984734310053706,0.022030346498985,0.232928912629187,0.913,0.00891240708226459,0.892155942568096,"09a_or_to_cor_CONT",1000
0.5,50,0.3,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.0259516565480994,0.00668834872119522,0.211504157444514,0.00473174319906086,0.200847083033732,0.949612931776161,0.0212446156423704,0.212985358851936,0.908,0.00913980306133562,0.770377818339264,"09a_or_to_cor_CONT",1000
0.75,50,0.3,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.00921306185226062,0.00422293627719868,0.133540970497,0.00298756103227397,0.139570713534788,1.04515275735489,0.0233820200574123,0.133791771492768,0.9,0.00948683298050514,0.519442767144081,"09a_or_to_cor_CONT",1000
0,100,0.3,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,0.000206331899964728,0.00535346822207273,0.169291529630819,0.00378736784027229,0.172312346903506,1.01784387724108,0.022771069382429,0.169206988495129,0.941,0.00745110730026082,0.674605724677773,"09a_or_to_cor_CONT",1000
0.1,100,0.3,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.00235439521130516,0.00542673466226249,0.171608417901341,0.00383920096000612,0.170005983187937,0.990662260435701,0.0221629658254478,0.171538750206236,0.934,0.00785136930732467,0.665374023843881,"09a_or_to_cor_CONT",1000
0.25,100,0.3,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.00289399027116199,0.00528349679831208,0.167078838928734,0.00373786581483829,0.163127852320293,0.97635256125926,0.0218428311170958,0.167020352828767,0.938,0.00762600813007697,0.637327555496051,"09a_or_to_cor_CONT",1000
0.5,100,0.3,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.00307122832204418,0.00454164453221005,0.143619410446337,0.00321303456557758,0.139347391189031,0.970254582970163,0.0217064079486528,0.143580433782959,0.92,0.00857904423581089,0.540411035884259,"09a_or_to_cor_CONT",1000
0.75,100,0.3,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,0.000465804187886999,0.00310609519171799,0.0982233543512623,0.00219743996787608,0.0952960556285704,0.970197528459235,0.0217051315326365,0.0981753354270566,0.896,0.00965318600255895,0.362427596307023,"09a_or_to_cor_CONT",1000
0,300,0.3,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,4.53140232622563e-05,0.00310911810364818,0.0983189472199171,0.00219957855896385,0.0999959728174284,1.01705699303065,0.022753465312343,0.0982697858978594,0.95,0.00689202437604511,0.391861307242778,"09a_or_to_cor_CONT",1000
0.1,300,0.3,0.3,"CONT","2x2_tetrachoric (r)","own",1000,1000,0,-0.00199729737892138,0.00320596959573475,0.10138166031771,0.00226809717366276,0.098698598398312,0.973535036702001,0.0217797978281852,0.101350638895602,0.939,0.00756828910652864,0.386720607430956,"09a_or_to_cor_CONT",1000
